时间,成交,金额,笔数
9:15,5.39,82467,0
9:15,5.38,112442,0
9:15,5.37,134787,0
9:15,5.37,134787,0
9:15,5.37,134787,0
9:16,5.37,134787,0
9:16,5.37,134787,0
9:16,5.37,134787,0
9:16,5.37,134787,0
9:16,5.37,134787,0
9:16,5.37,203523,0
9:16,5.37,135861,0
9:17,5.37,136935,0
9:17,5.37,136935,0
9:17,5.37,136935,0
9:17,5.37,204597,0
9:17,5.37,136935,0
9:18,5.37,136935,0
9:18,5.37,136935,0
9:18,5.37,136935,0
9:18,5.37,136935,0
9:19,5.37,136935,0
9:19,5.37,136935,0
9:19,5.37,136935,0
9:19,5.37,136935,0
9:19,5.37,136935,0
9:19,5.37,140694,0
9:20,5.37,140694,0
9:20,5.37,140694,0
9:20,5.37,140694,0
9:20,5.37,142842,0
9:21,5.36,142576,0
9:21,5.35,144450,0
9:21,5.35,151405,0
9:21,5.34,156462,0
9:21,5.34,160734,0
9:21,5.34,160734,0
9:21,5.34,160734,0
9:22,5.33,162565,0
9:22,5.33,166296,0
9:22,5.33,166829,0
9:22,5.33,184951,0
9:22,5.33,192413,0
9:22,5.33,192413,0
9:23,5.32,192052,0
9:23,5.29,290950,0
9:23,5.29,338560,0
9:23,5.29,338560,0
9:23,5.29,339089,0
9:23,5.29,339089,0
9:23,5.29,348082,0
9:24,5.29,372945,0
9:24,5.29,394105,0
9:24,5.28,426624,0
9:24,5.28,464640,0
9:24,5.28,501072,0
9:24,5.28,503184,0
9:24,5.27,559674,0
9:25,5.26,656974,97
9:30,5.27,755191,67
9:30,5.27,954924,120
9:30,5.27,226083,23
9:30,5.27,211327,23
9:30,5.27,100657,23
9:30,5.26,398182,20
9:30,5.26,90472,14
9:30,5.27,32147,9
9:30,5.26,47866,10
9:30,5.28,191136,11
9:30,5.27,286688,26
9:30,5.28,214896,14
9:30,5.28,129888,20
9:30,5.28,111408,8
9:30,5.28,37488,29
9:30,5.28,293040,15
9:30,5.28,175296,12
9:30,5.28,187968,10
9:30,5.28,159456,8
9:30,5.28,456192,20
9:31,5.27,120683,12
9:31,5.28,105600,2
9:31,5.28,88176,7
9:31,5.27,198679,9
9:31,5.28,34848,4
9:31,5.27,86428,14
9:31,5.28,249216,50
9:31,5.29,185679,19
9:31,5.29,220593,18
9:31,5.28,138336,14
9:31,5.29,179331,20
9:31,5.3,43990,7
9:31,5.28,223872,22
9:31,5.28,122496,7
9:31,5.3,160590,17
9:31,5.3,0,0
9:31,5.31,5310,3
9:31,5.3,22260,7
9:31,5.3,143100,14
9:31,5.29,43907,8
9:32,5.29,20631,4
9:32,5.29,20631,16
9:32,5.29,39675,18
9:32,5.29,8464,5
9:32,5.29,31740,6
9:32,5.29,6877,2
9:32,5.29,34385,8
9:32,5.29,84111,14
9:32,5.29,32798,10
9:32,5.3,24380,11
9:32,5.29,60306,7
9:32,5.29,14283,4
9:32,5.29,25921,5
9:32,5.29,41791,6
9:32,5.29,25921,4
9:32,5.29,21689,3
9:32,5.29,295711,19
9:32,5.29,99981,10
9:32,5.27,777852,44
9:32,5.27,9486,6
9:33,5.28,109296,14
9:33,5.27,42687,5
9:33,5.27,139128,15
9:33,5.27,27931,7
9:33,5.28,10032,3
9:33,5.28,3696,3
9:33,5.28,92400,21
9:33,5.27,6851,1
9:33,5.28,528,1
9:33,5.27,32674,4
9:33,5.27,97495,10
9:33,5.27,3162,3
9:33,5.27,348347,22
9:33,5.28,24816,4
9:33,5.28,7920,6
9:33,5.28,53328,4
9:33,5.27,2108,2
9:33,5.27,0,0
9:33,5.27,5270,2
9:33,5.27,56389,6
9:34,5.27,88536,14
9:34,5.27,85374,11
9:34,5.28,157344,17
9:34,5.28,0,0
9:34,5.28,6864,2
9:34,5.29,4232,3
9:34,5.29,21689,4
9:34,5.29,0,0
9:34,5.29,21160,7
9:34,5.29,0,0
9:34,5.29,103155,3
9:34,5.29,36501,4
9:34,5.29,38088,3
9:34,5.28,41712,5
9:34,5.29,3174,2
9:34,5.29,11638,2
9:34,5.29,0,0
9:34,5.29,34914,2
9:34,5.29,0,0
9:34,5.29,23805,3
9:35,5.29,3174,2
9:35,5.29,27508,5
9:35,5.29,50255,1
9:35,5.29,251804,13
9:35,5.29,0,0
9:35,5.29,2116,1
9:35,5.29,1058,1
9:35,5.29,26450,3
9:35,5.29,0,0
9:35,5.3,13250,2
9:35,5.3,0,0
9:35,5.3,0,0
9:35,5.3,10070,7
9:35,5.29,2116,2
9:35,5.3,3710,3
9:35,5.3,0,0
9:35,5.29,48139,2
9:35,5.29,0,0
9:35,5.29,60306,3
9:35,5.3,84270,21
9:36,5.3,117130,8
9:36,5.3,26500,3
9:36,5.3,9010,6
9:36,5.3,15370,12
9:36,5.31,5310,2
9:36,5.31,0,0
9:36,5.3,325950,11
9:36,5.3,38160,5
9:36,5.3,15370,5
9:36,5.3,6890,2
9:36,5.31,3186,1
9:36,5.31,0,0
9:36,5.31,28143,6
9:36,5.31,6372,4
9:36,5.3,6360,2
9:36,5.31,55755,4
9:36,5.31,49914,7
9:36,5.31,10089,7
9:36,5.31,9558,2
9:36,5.3,25970,5
9:37,5.3,56710,5
9:37,5.3,0,0
9:37,5.31,10620,2
9:37,5.31,54162,9
9:37,5.31,30267,7
9:37,5.31,33453,5
9:37,5.31,28143,5
9:37,5.31,10620,2
9:37,5.31,16992,6
9:37,5.31,54162,9
9:37,5.31,164610,11
9:37,5.3,118190,43
9:37,5.31,3186,4
9:37,5.31,26550,34
9:37,5.31,35046,38
9:37,5.3,26500,29
9:37,5.31,1062,2
9:37,5.31,0,0
9:37,5.3,66780,10
9:37,5.3,22790,23
9:38,5.31,53631,5
9:38,5.31,0,0
9:38,5.31,531,1
9:38,5.31,0,0
9:38,5.3,2120,1
9:38,5.31,40887,17
9:38,5.31,0,0
9:38,5.31,42480,7
9:38,5.31,0,0
9:38,5.3,6360,4
9:38,5.3,0,0
9:38,5.3,0,0
9:38,5.31,1062,1
