时间,成交,金额,笔数
9:15,8.5,5950,0
9:16,8.41,113535,0
9:17,8.41,185861,0
9:17,8.41,113535,0
9:18,8.41,113535,0
9:18,8.41,113535,0
9:19,8.41,113535,0
9:19,8.5,6800,0
9:20,8.5,15300,0
9:21,8.5,20400,0
9:22,8.5,25500,0
9:22,8.5,34000,0
9:22,8.5,34000,0
9:23,8.5,36550,0
9:23,8.5,36550,0
9:23,8.49,38205,0
9:23,8.49,39054,0
9:23,8.49,42450,0
9:23,8.49,46695,0
9:24,8.48,96672,0
9:24,8.48,96672,0
9:24,8.48,96672,0
9:24,8.47,111804,0
9:25,8.47,114345,25
9:30,8.47,262570,22
9:30,8.46,153126,10
9:30,8.47,31339,10
9:30,8.46,177660,15
9:30,8.42,44626,7
9:30,8.42,247548,20
9:30,8.41,26071,3
9:30,8.4,41160,12
9:30,8.4,0,0
9:30,8.4,6720,3
9:30,8.42,24418,12
9:30,8.41,13456,8
9:30,8.4,194880,20
9:30,8.4,24360,8
9:30,8.39,83900,20
9:30,8.39,29365,10
9:30,8.4,139440,15
9:30,8.4,50400,7
9:30,8.42,263546,30
9:30,8.42,23576,12
9:31,8.42,29470,7
9:31,8.42,12630,6
9:31,8.41,26912,4
9:31,8.42,2526,1
9:31,8.42,5894,5
9:31,8.42,1684,2
9:31,8.42,15156,8
9:31,8.42,5894,2
9:31,8.42,111144,10
9:31,8.42,53888,4
9:31,8.42,0,0
9:31,8.43,85986,9
9:31,8.41,51301,7
9:31,8.41,19343,18
9:31,8.41,0,0
9:31,8.41,0,0
9:31,8.42,85042,9
9:31,8.42,8420,6
9:31,8.42,6736,8
9:31,8.42,5894,7
9:32,8.42,5894,5
9:32,8.43,75027,18
9:32,8.41,9251,2
9:32,8.42,181872,13
9:32,8.42,0,0
9:32,8.42,0,0
9:32,8.42,2526,2
9:32,8.42,21892,1
9:32,8.42,57256,4
9:32,8.42,14314,5
9:32,8.42,15156,6
9:32,8.42,8420,3
9:32,8.42,13472,2
9:32,8.42,0,0
9:32,8.42,3368,4
9:32,8.42,8420,4
9:32,8.42,842,1
9:32,8.42,61466,6
9:32,8.42,0,0
