时间,成交,金额,笔数
9:15,12.3,6150,0
9:15,12.25,6125,0
9:15,12.17,6085,0
9:15,12.17,6085,0
9:16,12.2,128100,0
9:16,12.22,123422,0
9:16,12.22,128310,0
9:16,12.22,128310,0
9:16,12.22,128310,0
9:17,12.22,128310,0
9:17,12.22,128310,0
9:17,12.22,133198,0
9:18,12.22,133198,0
9:18,12.22,133198,0
9:18,12.22,133198,0
9:18,12.22,133198,0
9:18,12.22,133198,0
9:18,12.22,133198,0
9:19,12.22,133198,0
9:19,12.22,133198,0
9:19,12.22,133198,0
9:19,12.22,133198,0
9:19,12.22,136864,0
9:19,12.22,136864,0
9:20,12.22,136864,0
9:20,12.22,145418,0
9:20,12.22,145418,0
9:20,12.22,194298,0
9:20,12.22,194298,0
9:21,12.22,194298,0
9:21,12.21,194139,0
9:21,12.21,194139,0
9:21,12.21,194139,0
9:21,12.21,194139,0
9:21,12.21,194139,0
9:21,12.2,203740,0
9:22,12.2,203740,0
9:22,12.18,207060,0
9:22,12.18,208278,0
9:23,12.17,208107,0
9:23,12.17,208107,0
9:23,12.15,207765,0
9:23,12.1,251680,0
9:24,12.1,251680,0
9:24,12.09,257517,0
9:24,12.06,280998,0
9:24,12.03,322404,0
9:24,12.03,401802,0
9:24,12.06,601794,0
9:24,12.03,661650,0
9:25,12.06,730836,0
9:25,12.06,730836,35
9:30,12.09,9672,1
9:30,12.13,58224,8
9:30,12.07,39831,13
9:30,12.09,33852,6
9:30,12.09,130572,17
9:30,12.08,28992,10
9:30,12.09,87048,19
9:30,12.08,56776,11
9:30,12.08,163080,14
9:30,12.08,0,0
9:30,12.07,290887,21
9:30,12.07,132770,23
9:30,12.07,35003,2
9:30,12.08,3624,2
9:30,12.08,1208,1
9:30,12.08,19328,8
9:30,12.07,167773,26
9:30,12.08,157040,9
9:30,12.08,170328,25
9:30,12.08,66440,23
9:31,12.12,195132,72
9:31,12.13,247452,27
9:31,12.15,70470,10
9:31,12.15,86265,9
9:31,12.15,38880,8
9:31,12.14,53416,13
9:31,12.13,54585,9
9:31,12.11,150164,17
9:31,12.11,12110,1
9:31,12.11,32697,6
9:31,12.11,0,0
9:31,12.09,3627,1
9:31,12.12,133320,5
9:31,12.11,1211,1
9:31,12.12,24240,2
9:31,12.11,12110,3
9:31,12.11,47229,4
9:31,12.11,81137,6
9:31,12.11,33908,4
9:31,12.13,12130,2
9:32,12.12,3636,1
9:32,12.11,184072,3
9:32,12.1,325490,10
9:32,12.11,6055,3
9:32,12.11,2422,2
9:32,12.11,0,0
9:32,12.1,84700,14
9:32,12.1,50820,15
9:32,12.1,7260,2
9:32,12.1,19360,5
9:32,12.11,121100,32
9:32,12.11,0,0
9:32,12.1,7260,1
9:32,12.1,20570,5
9:32,12.1,39930,6
9:32,12.1,3630,2
9:32,12.09,402597,48
9:32,12.09,91884,26
9:32,12.08,74896,29
9:32,12.08,13288,7
9:33,12.09,32643,5
9:33,12.07,194327,30
9:33,12.06,236376,31
9:33,12.05,580810,131
9:33,12.05,6025,3
9:33,12.05,0,0
9:33,12.06,153162,5
9:33,12.05,1205,1
9:33,12.05,0,0
9:33,12.05,49405,1
9:33,12.06,14472,5
9:33,12.05,108450,3
9:33,12.05,56635,4
9:33,12.06,2412,1
9:33,12.05,107245,18
9:33,12.05,7230,2
9:33,12.05,25305,2
9:33,12.05,291610,58
9:33,12.06,43416,3
9:33,12.06,8442,2
9:34,12.05,159060,17
9:34,12.05,46995,13
9:34,12.05,31330,6
9:34,12.05,0,0
9:34,12.06,6030,1
9:34,12.06,0,0
9:34,12.06,12060,3
9:34,12.06,25326,6
9:34,12.06,8442,2
9:34,12.06,49446,7
9:34,12.06,4824,1
9:34,12.06,102510,11
9:34,12.07,2414,2
9:34,12.07,24140,3
9:34,12.07,42245,2
9:34,12.06,12060,1
9:34,12.06,69948,8
9:34,12.06,26532,2
9:34,12.06,20502,5
9:34,12.06,39798,3
9:35,12.06,15678,2
9:35,12.06,0,0
9:35,12.06,0,0
9:35,12.05,56635,10
9:35,12.06,31356,6
9:35,12.06,42210,2
9:35,12.06,12060,1
9:35,12.07,6035,1
9:35,12.07,0,0
9:35,12.06,6030,2
9:35,12.07,32589,7
9:35,12.07,238986,37
9:35,12.07,0,0
9:35,12.07,16898,2
9:35,12.07,0,0
9:35,12.07,16898,4
9:35,12.07,49487,4
9:35,12.07,35003,3
9:35,12.07,4828,1
9:35,12.08,2416,2
9:36,12.08,59192,24
9:36,12.07,47073,5
9:36,12.07,1207,1
9:36,12.07,1207,1
9:36,12.07,12070,1
9:36,12.07,13277,2
9:36,12.07,10863,4
9:36,12.07,0,0
9:36,12.07,0,0
9:36,12.08,60400,5
9:36,12.07,50694,5
9:36,12.08,14496,2
9:36,12.08,25368,4
9:36,12.08,25368,2
9:36,12.08,3624,1
9:36,12.08,22952,3
9:36,12.08,0,0
9:36,12.08,4832,3
9:36,12.08,33824,5
9:36,12.08,3624,3
9:37,12.08,85768,10
9:37,12.09,215202,32
9:37,12.12,349056,32
9:37,12.13,127365,15
9:37,12.14,53416,6
9:37,12.14,169960,30
9:37,12.14,2428,2
9:37,12.15,17010,3
9:37,12.15,105705,5
9:37,12.15,55890,6
9:37,12.15,34020,5
9:37,12.15,234495,11
9:37,12.15,149445,12
9:37,12.14,72840,6
9:37,12.14,30350,6
9:37,12.15,38880,6
9:37,12.14,19424,3
9:37,12.15,213840,19
9:37,12.16,52288,7
9:37,12.15,27945,4
9:38,12.16,46208,6
9:38,12.16,0,0
9:38,12.16,351424,20
9:38,12.17,423516,51
9:38,12.18,98658,14
9:38,12.18,114492,9
9:38,12.18,135198,14
9:38,12.19,46322,2
9:38,12.18,228984,11
9:38,12.18,158340,10
9:38,12.18,87696,8
9:38,12.18,157122,18
9:38,12.18,495726,21
9:38,12.19,291341,33
9:38,12.19,170660,19
9:38,12.21,479853,23
9:38,12.21,41514,10
9:38,12.22,31772,7
9:38,12.22,314054,26
9:38,12.21,222222,22
9:39,12.21,69597,12
9:39,12.22,76986,18
9:39,12.21,152625,14
9:39,12.21,96459,9
9:39,12.27,2065041,116
9:39,12.28,1327468,126
9:39,12.29,116755,12
9:39,12.28,205076,21
9:39,12.28,213672,17
9:39,12.28,431028,32
9:39,12.3,619920,33
9:39,12.32,1331792,94
9:39,12.34,979796,72
9:39,12.34,86380,21
9:39,12.34,187568,29
9:39,12.35,716300,47
9:39,12.38,849268,63
9:39,12.4,921320,59
9:39,12.45,729570,57
9:39,12.52,1653892,125
9:40,12.59,2050911,139
9:40,12.61,819650,77
9:40,12.61,707421,77
9:40,12.63,1511811,154
9:40,12.63,1072287,72
9:40,12.66,1121676,91
9:40,12.82,3530628,132
9:40,12.84,4215372,170
9:40,12.91,2547143,146
9:40,13.05,2508210,172
9:40,13.17,4868949,236
9:40,13.31,11378719,470
9:40,13.31,2180178,104
9:40,13.31,1316359,75
9:40,13.31,3236992,123
9:40,13.31,3497868,158
9:40,13.31,6951813,118
9:40,13.31,7454931,313
9:40,13.31,12617880,453
9:40,13.21,1198147,93
9:41,13.19,1791202,151
9:41,13.05,664245,86
9:41,13.03,988977,127
9:41,13.02,2247252,183
9:41,12.97,779497,85
9:41,12.96,1649808,133
9:41,12.97,1949391,216
9:41,12.91,1598258,151
9:41,12.92,1078820,109
9:41,12.9,2220090,156
9:41,12.91,951467,85
9:41,12.91,1107678,120
9:41,12.93,2620911,129
9:41,12.96,1789776,128
9:41,12.96,2265408,133
9:41,12.97,865099,78
9:41,13,1112800,52
9:41,12.99,1854972,166
9:41,12.99,3767100,209
9:41,13,2845700,183
9:42,12.98,1422608,171
9:42,12.99,1247040,97
9:42,12.99,932682,63
9:42,12.99,1317186,191
9:42,12.99,1662720,90
9:42,12.98,656788,42
9:42,12.97,843050,47
9:42,12.97,2285314,115
9:42,12.94,1048140,63
9:42,12.95,257705,23
9:42,12.93,540474,118
9:42,12.92,909568,58
9:42,12.92,1020680,61
9:42,12.92,290700,49
9:42,12.92,777784,51
9:42,12.91,781055,50
9:42,12.91,1533708,63
9:42,12.91,854642,86
9:42,12.9,666930,67
9:42,12.99,8596782,313
9:43,13.03,4553985,218
9:43,13.08,453876,57
9:43,13.09,1460660.7,86
9:43,13.18,1067580,108
9:43,13.2,1327920,124
9:43,13.18,839566,79
9:43,13.23,1029294,95
9:43,13.2,988680,88
9:43,13.22,1378846,104
9:43,13.23,1128519,86
9:43,13.22,1986966,142
9:43,13.22,852690,79
9:43,13.2,645480,74
9:43,13.21,1092467,80
9:43,13.19,560575,55
9:43,13.2,772200,52
9:43,13.13,407030,65
9:43,13.13,237653,41
9:43,13.08,184428,25
9:43,13.04,148838.6,31
9:44,13.02,630168,125
9:44,13.02,537726,37
9:44,12.99,422175,67
9:44,12.99,388401,54
9:44,12.95,229215,25
9:44,12.93,315492,37
9:44,12.96,343440,35
9:44,12.96,1041984,69
9:44,12.96,1670544,57
9:44,12.97,704271,52
9:44,12.98,1137048,59
9:44,12.96,370656,58
9:44,12.98,434830,56
9:44,12.97,706865,53
9:44,12.96,962928,47
9:44,12.96,869616,29
9:44,12.95,541310,33
9:44,12.94,363614,20
9:44,12.94,235508,20
9:44,12.94,2364138,150
9:45,12.99,3813864,265
9:45,13.01,3559536,136
9:45,13.02,740838,51
9:45,13.02,837186,70
9:45,13.02,591108,33
9:45,13.03,463868,54
9:45,13.06,475384,49
9:45,13.03,723165,46
9:45,13.06,892820.8,101
9:45,13.03,740586.1,129
9:45,13.05,446310,53
9:45,13.06,924648,136
9:45,13.07,491432,65
9:45,13.09,909755,87
9:45,13.11,1381794,65
9:45,13.09,655809,47
9:45,13.11,477204,38
9:45,13.12,459200,49
