时间,成交,金额,笔数
9:15,3.14,382766,0
9:15,3.14,2862455.4,0
9:15,3.14,2864025.4,0
9:15,3.14,2853663.4,0
9:15,3.14,2913323.4,0
9:15,3.14,2914579.4,0
9:15,3.14,2949433.4,0
9:16,3.14,2952573.4,0
9:16,3.14,2967331.4,0
9:16,3.14,3024479.4,0
9:16,3.11,1681577,0
9:16,3.11,1609114,0
9:16,3.05,1365485,0
9:16,3.04,1315408,0
9:17,2.99,1094938,0
9:17,2.99,1076101,0
9:17,2.99,1011816,0
9:17,2.99,1219920,0
9:18,2.83,39620,0
9:18,2.83,39620,0
9:18,2.83,39620,0
9:18,2.83,39620,0
9:19,2.83,39620,0
9:19,2.83,39620,0
9:19,2.83,39620,0
9:20,2.83,39620,0
9:20,2.83,39620,0
9:20,2.83,39620,0
9:21,2.83,39620,0
9:21,2.83,39620,0
9:21,2.83,39620,0
9:22,2.83,39620,0
9:23,2.83,39620,0
9:23,2.83,39620,0
9:23,2.84,40044,0
9:24,2.84,41180,0
9:24,2.84,41180,0
9:24,2.85,41325,0
9:24,2.85,51300,0
9:25,2.85,96045,21
9:30,2.86,459030,34
9:30,2.87,99876,36
9:30,2.88,114336,36
9:30,2.88,45504,32
9:30,2.88,44928,12
9:30,2.88,2880,2
9:30,2.86,145574,34
9:30,2.84,240548,33
9:30,2.85,123405,14
9:30,2.85,855,2
9:30,2.85,2565,2
9:30,2.85,0,0
9:30,2.85,285,1
9:30,2.85,54720,13
9:30,2.85,570,2
9:30,2.85,0,0
9:30,2.84,30388,10
9:30,2.85,285,1
9:30,2.85,0,0
9:31,2.85,0,0
9:31,2.85,0,0
9:31,2.85,7125,15
9:31,2.84,284,1
9:31,2.84,0,0
9:31,2.85,1140,1
9:31,2.85,0,0
9:31,2.84,19028,7
9:31,2.85,855,1
9:31,2.85,2280,2
9:31,2.85,0,0
9:31,2.84,32660,6
9:31,2.84,0,0
9:31,2.84,144556,43
9:31,2.84,7668,4
9:31,2.85,855,1
9:31,2.85,0,0
9:31,2.86,188760,58
9:31,2.85,285,1
9:31,2.85,0,0
9:32,2.85,3705,1
9:32,2.85,0,0
9:32,2.86,858,1
9:32,2.85,570,2
9:32,2.85,0,0
9:32,2.85,112290,12
9:32,2.85,17100,2
9:32,2.85,5130,12
9:32,2.85,4275,8
9:32,2.85,1710,1
9:32,2.85,28785,4
9:32,2.85,92340,21
9:32,2.85,34485,5
9:32,2.85,0,0
9:32,2.86,572,1
9:32,2.86,0,0
9:32,2.85,10260,3
9:33,2.85,0,0
9:33,2.85,7410,5
9:33,2.85,38760,4
9:33,2.85,24225,1
9:33,2.85,2850,1
9:33,2.85,0,0
9:33,2.84,14200,3
9:33,2.84,0,0
9:33,2.85,855,1
9:33,2.85,0,0
9:33,2.85,101745,22
9:33,2.84,284,1
9:33,2.85,285,1
9:33,2.86,8008,5
9:33,2.86,0,0
9:33,2.86,858,1
9:33,2.86,0,0
9:33,2.86,2002,1
9:34,2.86,0,0
9:34,2.86,858,1
9:34,2.86,0,0
9:34,2.86,0,0
9:34,2.86,0,0
9:34,2.85,61275,13
9:34,2.85,39045,21
9:34,2.86,30030,10
9:34,2.86,0,0
9:34,2.85,14820,2
9:34,2.85,0,0
9:34,2.85,0,0
9:34,2.85,7980,2
9:34,2.85,0,0
9:34,2.85,0,0
9:34,2.85,3705,2
9:34,2.85,0,0
9:35,2.85,1140,2
9:35,2.85,0,0
9:35,2.85,0,0
9:35,2.85,0,0
9:35,2.85,0,0
9:35,2.85,0,0
9:35,2.85,570,1
9:35,2.85,0,0
9:35,2.85,0,0
9:35,2.85,9975,2
9:35,2.85,0,0
9:35,2.85,0,0
9:35,2.84,284,1
9:35,2.84,0,0
9:35,2.84,284,1
9:36,2.84,0,0
9:36,2.85,285,1
9:36,2.84,310128,75
9:36,2.84,0,0
9:36,2.84,78100,19
9:36,2.84,41464,5
9:36,2.84,107636,25
9:36,2.84,4828,1
9:36,2.84,0,0
9:36,2.84,0,0
9:36,2.84,0,0
9:36,2.84,165288,40
9:36,2.84,284,1
9:36,2.84,0,0
9:36,2.84,0,0
9:36,2.84,284,1
9:36,2.84,13632,9
9:36,2.84,19312,7
9:36,2.84,0,0
9:37,2.84,852,3
9:37,2.84,0,0
9:37,2.84,0,0
9:37,2.84,0,0
9:37,2.84,2840,1
9:37,2.84,568,2
9:37,2.84,0,0
9:37,2.84,0,0
9:37,2.85,32490,2
9:37,2.85,0,0
9:37,2.85,0,0
9:37,2.85,9120,2
9:37,2.85,0,0
9:37,2.85,0,0
9:37,2.85,1425,1
9:38,2.85,0,0
9:38,2.85,0,0
9:38,2.85,0,0
9:38,2.85,0,0
9:38,2.85,0,0
9:38,2.85,0,0
9:38,2.85,0,0
9:38,2.85,0,0
9:39,2.85,0,0
9:39,2.85,2850,1
9:39,2.85,0,0
9:39,2.85,0,0
9:39,2.85,1710,2
9:39,2.85,1995,1
9:39,2.84,1704,2
9:39,2.84,568,2
9:39,2.84,284,1
9:39,2.84,0,0
9:39,2.84,0,0
9:40,2.85,7695,1
9:40,2.85,285,1
9:40,2.85,0,0
9:40,2.85,0,0
9:40,2.85,15675,7
9:40,2.85,285,1
9:40,2.84,1988,2
9:40,2.85,8835,1
9:40,2.86,352066,95
9:40,2.86,52052,7
9:40,2.86,0,0
9:40,2.86,286,1
9:40,2.86,0,0
9:40,2.86,1144,1
9:40,2.86,0,0
9:40,2.86,286,1
9:40,2.86,5720,5
9:40,2.86,0,0
9:40,2.86,0,0
9:41,2.86,0,0
9:41,2.86,1144,1
9:41,2.86,2002,6
9:41,2.86,858,1
9:41,2.86,0,0
9:41,2.87,1148,2
9:41,2.87,0,0
9:41,2.87,0,0
9:41,2.87,287,1
9:41,2.87,0,0
9:41,2.87,861,3
9:41,2.87,32144,5
9:41,2.87,14350,6
9:41,2.87,287,1
9:41,2.87,0,0
9:42,2.87,0,0
9:42,2.86,286,1
9:42,2.86,0,0
9:42,2.86,0,0
9:42,2.86,0,0
9:42,2.86,286,1
9:42,2.86,0,0
9:42,2.86,0,0
9:42,2.86,0,0
9:42,2.86,0,0
9:42,2.86,0,0
9:42,2.87,7749,2
9:43,2.87,39319,2
9:43,2.87,0,0
9:43,2.87,0,0
9:43,2.87,0,0
9:43,2.87,0,0
9:43,2.87,0,0
9:43,2.87,0,0
9:43,2.86,286,1
9:43,2.86,0,0
9:43,2.86,0,0
9:43,2.86,0,0
9:43,2.86,0,0
9:43,2.86,0,0
9:43,2.86,0,0
9:44,2.87,861,1
9:44,2.87,861,1
9:44,2.87,0,0
9:44,2.87,2296,2
9:44,2.87,0,0
9:44,2.87,0,0
9:44,2.86,1430,4
9:44,2.86,0,0
9:44,2.86,0,0
9:44,2.87,861,3
9:44,2.86,572,2
9:44,2.86,0,0
9:44,2.87,1722,2
9:44,2.87,0,0
9:44,2.87,392903,33
9:45,2.87,0,0
9:45,2.87,0,0
9:45,2.87,0,0
9:45,2.87,0,0
9:45,2.87,0,0
9:45,2.87,27552,8
9:45,2.87,58835,13
9:45,2.87,0,0
9:45,2.87,0,0
9:45,2.87,0,0
9:45,2.87,0,0
9:45,2.87,0,0
9:45,2.87,0,0
9:45,2.87,0,0
9:45,2.87,0,0
9:45,2.88,15840,2
9:45,2.88,0,0
9:45,2.87,389746,23
9:46,2.87,0,0
9:46,2.87,0,0
9:46,2.87,0,0
9:46,2.88,146016,13
9:46,2.88,3744,2
9:46,2.89,46818,4
9:46,2.9,768444.9,38
9:46,2.9,109910,28
9:46,2.94,682953.2,71
9:46,2.96,1697560,165
9:46,2.98,723544,120
9:46,2.99,324415,48
9:46,2.98,456536,45
9:46,2.96,528656,37
9:46,2.97,178794,25
9:46,2.98,979228,60
9:46,3.01,1203410,91
9:46,3.04,1483824,134
9:46,3.14,4476698,220
9:46,3.14,252456,17
9:47,3.14,149778,16
9:47,3.14,318396,8
9:47,3.14,878886,12
9:47,3.14,268470,10
9:47,3.14,166106,7
9:47,3.14,260620,12
9:47,3.14,437402,12
9:47,3.14,1364644,14
9:47,3.14,232988,14
9:47,3.14,200018,8
9:47,3.14,87292,5
9:47,3.14,293590,9
9:47,3.14,26690,3
9:47,3.14,459068,7
9:47,3.14,328758,17
9:47,3.14,107702,5
9:47,3.14,71278,7
9:47,3.14,230476,11
9:47,3.14,102050,6
9:47,3.14,12246,4
9:48,3.14,116808,8
9:48,3.14,461266,5
9:48,3.14,45530,5
9:48,3.14,62800,6
9:48,3.14,198448,5
9:48,3.14,177724,11
9:48,3.14,102050,7
9:48,3.14,133136,6
9:48,3.14,167990,7
9:48,3.14,38936,6
9:48,3.14,34091,2
9:48,3.14,191854,6
9:48,3.14,105504,2
9:48,3.14,63742,8
9:48,3.14,37366,4
9:48,3.14,663482,4
9:48,3.14,27946,3
9:48,3.14,13502,1
9:48,3.14,19468,2
9:48,3.14,640874,4
9:49,3.14,7222,3
9:49,3.14,72220,6
9:49,3.14,354192,6
9:49,3.14,69805.3,9
9:49,3.14,1357108,10
9:49,3.14,590634,11
9:49,3.14,1849774,17
9:49,3.14,110528,7
9:49,3.14,2506662,13
9:49,3.14,857220,10
9:49,3.14,104593.4,8
9:49,3.14,241466,10
9:49,3.14,344144,5
9:49,3.14,135962,7
9:49,3.14,1679586,15
9:49,3.14,12560,1
9:49,3.14,184004,5
9:49,3.14,52124,5
9:49,3.14,41448,2
9:49,3.14,259992,13
9:50,3.14,202530,5
9:50,3.14,12560,1
9:50,3.14,1008882,5
9:50,3.14,64998,6
9:50,3.14,196878,4
9:50,3.14,53380,3
9:50,3.14,44274,3
9:50,3.14,63428,5
9:50,3.14,14130,3
9:50,3.14,21038,2
9:50,3.14,71592,4
9:50,3.14,68766,3
9:50,3.14,113040,2
9:50,3.14,45530,4
9:50,3.14,1256,1
9:50,3.14,5338,2
9:50,3.14,3140,1
9:50,3.14,3140,1
9:50,3.14,16014,2
9:50,3.14,6908,2
9:51,3.14,9420,2
9:51,3.14,4082,2
9:51,3.14,120262,3
9:51,3.14,116494,3
9:51,3.14,161396,4
9:51,3.14,35796,4
9:51,3.14,0,0
9:51,3.14,32342,3
9:51,3.14,0,0
9:51,3.14,65940,2
9:51,3.14,47100,3
9:51,3.14,76616,6
9:51,3.14,9420,2
9:51,3.14,84466,4
9:51,3.14,19782,3
9:51,3.14,14130,2
9:51,3.14,0,0
9:51,3.14,16642,4
9:51,3.14,0,0
9:52,3.14,292648,5
9:52,3.14,5652,2
9:52,3.14,0,0
9:52,3.14,6280,1
9:52,3.14,1256,1
9:52,3.14,3140,1
9:52,3.14,2826,3
9:52,3.14,40506,2
9:52,3.14,15700,2
9:52,3.14,35796,1
9:52,3.14,772.4,2
9:52,3.14,3140,1
9:52,3.14,111156,3
9:52,3.14,942,1
9:52,3.14,178352,4
9:52,3.14,22608,2
9:52,3.14,48670,2
9:52,3.14,15700,1
9:52,3.14,942,1
9:52,3.14,33912,5
9:53,3.14,2512,2
9:53,3.14,0,0
9:53,3.14,0,0
9:53,3.14,20724,10
9:53,3.14,92002,7
9:53,3.14,7850,2
9:53,3.14,269098,1
9:53,3.14,62800,1
9:53,3.14,942,3
9:53,3.14,6280,1
9:53,3.14,171758,2
9:53,3.14,0,0
9:53,3.14,14130,2
9:53,3.14,226080,2
9:53,3.14,35482,3
9:53,3.14,314,1
9:53,3.14,0,0
9:53,3.14,39457.2,3
9:53,3.14,75046,4
9:54,3.14,10362,2
9:54,3.14,9420,1
9:54,3.14,0,0
9:54,3.14,942,1
9:54,3.14,23550,1
9:54,3.14,0,0
9:54,3.14,62800,1
9:54,3.14,63428,5
9:54,3.14,628,1
9:54,3.14,1570,1
9:54,3.14,39250,2
9:54,3.14,4710,1
9:54,3.14,25120,2
9:54,3.14,7850,3
9:54,3.14,16956,2
9:54,3.14,690800,3
9:54,3.14,1570,1
9:54,3.14,42704,2
9:55,3.14,0,0
9:55,3.14,4710,1
9:55,3.14,0,0
9:55,3.14,1256,1
9:55,3.14,942,1
9:55,3.14,102992,4
9:55,3.14,10990,2
9:55,3.14,3140,1
9:55,3.14,3140,1
9:55,3.14,109843.5,5
9:55,3.14,159198,2
9:55,3.14,3140,1
9:55,3.14,0,0
9:55,3.14,0,0
9:55,3.14,65312,7
9:55,3.14,11932,3
9:55,3.14,62800,1
9:55,3.14,15700,3
9:55,3.14,10048,2
9:55,3.14,314000,1
9:56,3.14,16014,3
9:56,3.14,0,0
9:56,3.14,3140,1
9:56,3.14,145696,2
9:56,3.14,942,1
9:56,3.14,3140,1
9:56,3.14,12560,1
9:56,3.14,554210,4
9:56,3.14,0,0
9:56,3.14,31400,1
9:56,3.14,0,0
9:56,3.14,3454,1
9:56,3.14,5966,1
9:56,3.14,0,0
9:56,3.14,628,1
9:56,3.14,9420,1
9:56,3.14,0,0
9:56,3.14,460010,2
9:57,3.14,0,0
9:57,3.14,0,0
9:57,3.14,314,1
9:57,3.14,25120,1
9:57,3.14,326246,3
9:57,3.14,31400,1
9:57,3.14,4710,1
9:57,3.14,16014,2
9:57,3.14,83210,2
9:57,3.14,0,0
9:57,3.14,62800,1
9:57,3.14,37680,1
9:57,3.14,2512,1
9:57,3.14,942,1
9:57,3.14,29516,3
9:57,3.14,2198,3
9:57,3.14,392814,2
9:57,3.14,94200,1
9:57,3.14,27946,2
9:57,3.14,20096,1
9:58,3.14,0,0
9:58,3.14,0,0
9:58,3.14,314,1
9:58,3.14,0,0
9:58,3.14,628,1
9:58,3.14,651550,18
9:58,3.14,0,0
9:58,3.14,376172,1
9:58,3.14,0,0
9:58,3.14,62486,1
9:58,3.14,188400,2
9:58,3.14,0,0
9:58,3.14,1256,1
9:58,3.14,109900,2
9:58,3.14,628,1
9:58,3.14,13188,2
9:58,3.14,0,0
9:58,3.14,32970,4
9:58,3.14,21038,2
9:58,3.14,3140,1
9:59,3.14,12560,3
9:59,3.14,219800,2
9:59,3.14,57148,4
9:59,3.14,2512,2
9:59,3.14,125600,1
9:59,3.14,31400,1
9:59,3.14,0,0
9:59,3.14,0,0
9:59,3.14,0,0
9:59,3.14,0,0
9:59,3.14,157000,1
9:59,3.14,10362,1
9:59,3.14,0,0
9:59,3.14,17270,2
9:59,3.14,60288,3
9:59,3.14,3768,1
9:59,3.14,4396,1
9:59,3.14,0,0
9:59,3.14,3140,1
9:59,3.14,0,0
10:00,3.14,219800,2
10:00,3.14,0,0
10:00,3.14,6280,1
10:00,3.14,0,0
10:00,3.14,942,1
10:00,3.14,76616,4
10:00,3.14,0,0
10:00,3.14,178666,2
10:00,3.14,11304,2
