时间,成交,金额,笔数
9:15,6.99,4194,0
9:15,7.05,47940,0
9:15,6.99,69201,0
9:15,6.98,92834,0
9:15,6.99,636090,0
9:15,6.98,92834,0
9:19,6.98,92834,0
9:19,6.98,92834,0
9:20,6.98,92834,0
9:20,6.98,92834,0
9:20,6.98,92834,0
9:20,6.98,92834,0
9:20,6.97,92701,0
9:21,6.97,92701,0
9:21,6.97,92701,0
9:21,6.96,92568,0
9:22,6.96,92568,0
9:22,6.96,96048,0
9:24,6.96,100224,0
9:24,6.96,100224,0
9:24,6.95,123710,0
9:24,6.95,154985,0
9:24,6.95,173055,0
9:24,6.94,175582,0
9:24,6.94,175582,0
9:24,6.95,203635,0
9:25,6.94,206118,28
9:30,6.93,39501,2
9:30,6.92,366760,16
9:30,6.92,13840,3
9:30,6.92,45672,13
9:30,6.93,219681,28
9:30,6.93,12474,5
9:30,6.92,75428,18
9:30,6.92,29756,8
9:30,6.92,340464,29
9:30,6.91,111942,7
9:30,6.93,239085,30
9:30,6.94,70302.2,16
9:30,6.95,4170,3
9:30,6.94,5343.8,7
9:30,6.94,1388,1
9:30,6.94,28454,7
9:30,6.94,13880,2
9:30,6.93,33264,21
9:30,6.92,11764,2
9:30,6.93,39501,4
9:31,6.93,167013,19
9:31,6.94,95772,14
9:31,6.94,694,1
9:31,6.94,224162,61
9:31,6.95,164228.5,22
9:31,6.94,52050,2
9:31,6.93,72765,5
9:31,6.93,84546,21
9:31,6.93,0,0
9:31,6.93,30492,23
9:31,6.93,29106,7
9:31,6.93,3465,1
9:31,6.93,693,1
9:31,6.92,26988,3
9:31,6.93,693,1
9:31,6.92,4844,3
9:31,6.92,0,0
9:31,6.92,63664,6
9:32,6.92,0,0
9:32,6.93,138600,24
9:32,6.93,125433,27
9:32,6.93,55440,23
9:32,6.93,78309,6
9:32,6.94,378924,8
9:32,6.95,4170,2
9:32,6.95,33360,13
9:32,6.95,81315,9
9:32,6.95,0,0
9:32,6.97,14637,3
9:32,6.97,7667,2
9:32,6.96,80736,11
9:32,6.96,0,0
9:32,6.95,130660,13
9:32,6.95,86180,10
9:32,6.96,34800,11
9:32,6.96,0,0
9:32,6.94,38864,3
9:33,6.95,9730,7
9:33,6.95,695,1
9:33,6.95,0,0
9:33,6.95,0,0
9:33,6.95,1390,2
9:33,6.95,8340,10
9:33,6.95,1390,1
9:33,6.95,0,0
9:33,6.95,6950,4
9:33,6.95,0,0
9:33,6.95,72975,18
9:33,6.95,150120,9
9:33,6.94,11798,4
9:33,6.94,0,0
9:33,6.94,79810,6
9:33,6.95,45175,27
9:33,6.94,36088,27
9:33,6.94,0,0
9:33,6.95,201550,14
9:33,6.95,0,0
9:34,6.95,3475,4
9:34,6.95,0,0
9:34,6.95,8340,7
9:34,6.94,31230,13
9:34,6.94,1388,1
9:34,6.92,141168,18
9:34,6.94,30536,6
9:34,6.94,4858,4
9:34,6.94,3470,2
9:34,6.95,4170,5
9:34,6.95,0,0
9:34,6.95,0,0
9:34,6.95,3475,2
9:34,6.95,0,0
9:34,6.95,0,0
9:34,6.94,6940,4
9:34,6.94,0,0
9:34,6.94,174888,45
9:34,6.93,58212,36
9:35,6.94,74258,32
9:35,6.94,694,1
9:35,6.93,20790,2
9:35,6.93,0,0
9:35,6.93,0,0
9:35,6.93,29799,2
9:35,6.93,15939,2
9:35,6.93,1386,1
9:35,6.93,10395,1
9:35,6.93,32571,6
9:35,6.93,4158,4
9:35,6.93,8316,4
9:35,6.93,3465,2
9:35,6.93,2772,2
9:35,6.93,10395,11
9:35,6.93,0,0
9:35,6.93,0,0
9:36,6.93,4158,4
9:36,6.93,0,0
9:36,6.92,212444,35
9:36,6.92,8304,9
9:36,6.92,8304,9
9:36,6.92,0,0
9:36,6.93,31878,13
9:36,6.93,2079,1
9:36,6.93,0,0
9:36,6.93,16632,2
9:36,6.94,237348,13
9:36,6.94,1388,2
9:36,6.94,1388,1
9:36,6.93,6930,1
9:36,6.93,0,0
9:36,6.93,0,0
9:36,6.93,0,0
9:36,6.93,0,0
9:36,6.93,0,0
9:37,6.95,42395,15
9:37,6.95,0,0
9:37,6.95,0,0
9:37,6.94,12492,15
9:37,6.94,0,0
9:37,6.95,1390,1
