时间,成交,金额,笔数
9:15,28.4,184600,0
9:15,28.4,2523624,0
9:15,28.4,4395184,0
9:15,28.4,6588800,0
9:15,28.4,8355280,0
9:15,28.4,9851960,0
9:15,28.4,10417120,0
9:15,28.4,11215160,0
9:15,28.4,11399760,0
9:15,28.4,11448040,0
9:15,28.4,12081360,0
9:15,28.4,12081360,0
9:15,28.4,12081360,0
9:15,28.4,12371040,0
9:15,28.4,12371040,0
9:15,28.4,12371040,0
9:15,28.4,12393760,0
9:15,28.4,12123960,0
9:15,28.4,12123960,0
9:15,28.4,12203480,0
9:16,28.4,12203480,0
9:16,28.4,12203480,0
9:16,28.4,11910960,0
9:16,28.4,11910960,0
9:16,28.4,11641160,0
9:16,27.47,6601041,0
9:16,27.28,5546024,0
9:16,27.28,5404168,0
9:16,26.9,4443880,0
9:16,26.94,4450488,0
9:16,26.85,3941580,0
9:16,26.67,2928366,0
9:16,26.6,2707880,0
9:16,26.55,2562075,0
9:16,26.54,2500068,0
9:16,26.48,2099864,0
9:16,26.48,2102512,0
9:17,26.48,2041608,0
9:17,26.49,2188074,0
9:17,26.49,2174829,0
9:17,26.49,2174829,0
9:17,26.49,2185425,0
9:17,26.49,2188074,0
9:17,26.49,2198670,0
9:17,26.48,2052200,0
9:17,26.48,2091920,0
9:17,26.48,2099864,0
9:17,26.48,2065440,0
9:17,26.48,2065440,0
9:17,26.48,2083976,0
9:17,26.47,2043484,0
9:17,26.27,1045546,0
9:17,26.27,1048173,0
9:17,26.27,1082324,0
9:18,26.31,1215522,0
9:18,26.3,1204540,0
9:18,26.3,1204540,0
9:18,26.32,1265992,0
9:18,26.32,1268624,0
9:18,26.32,1268624,0
9:18,26.32,1287048,0
9:18,26.3,1196650,0
9:18,26.3,1201910,0
9:18,26.3,1228210,0
9:18,26.3,1220320,0
9:18,26.3,1217690,0
9:18,26.3,1230840,0
9:18,26.3,1249250,0
9:18,26.3,1270290,0
9:19,26.3,1270290,0
9:19,26.3,1251880,0
9:19,26.3,1265030,0
9:19,26.3,1267660,0
9:19,26.3,1283440,0
9:19,26.3,1288700,0
9:19,26.3,1288700,0
9:19,26.3,1293960,0
9:19,26.3,1307110,0
9:19,26.3,1312370,0
9:19,26.3,1312370,0
9:19,26.3,1312370,0
9:19,26.3,1312370,0
9:19,26.3,1312370,0
9:19,26.3,1322890,0
9:19,26.3,1330780,0
9:19,26.29,1077890,0
9:19,26.29,1064745,0
9:20,26.29,1072632,0
9:20,26.29,1075261,0
9:20,26.29,1088406,0
9:20,26.29,1088406,0
9:20,26.29,1088406,0
9:20,26.29,1088406,0
9:20,26.29,1088406,0
9:20,26.27,1134864,0
9:20,26.27,1140118,0
9:20,26.27,1179523,0
9:20,26.27,1187404,0
9:20,26.27,1187404,0
9:20,26.27,1195285,0
9:20,26.27,1203166,0
9:21,26.27,1208420,0
9:21,26.27,1287230,0
9:21,26.27,1300365,0
9:21,26.27,1302992,0
9:21,26.27,1302992,0
9:21,26.27,1302992,0
9:21,26.27,1305619,0
9:21,26.27,1368667,0
9:21,26.27,1371294,0
9:21,26.27,1371294,0
9:21,26.27,1423834,0
9:21,26.27,1423834,0
9:21,26.27,1423834,0
9:21,26.27,1455358,0
9:21,26.27,1455358,0
9:21,26.27,1455358,0
9:21,26.27,1455358,0
9:21,26.27,1460612,0
9:21,26.27,1481628,0
9:22,26.27,1539422,0
9:22,26.26,1538836,0
9:22,26.27,1631367,0
9:22,26.26,1630746,0
9:22,26.26,1646502,0
9:22,26.26,1646502,0
9:22,26.26,1683266,0
9:22,26.27,1712804,0
9:22,26.27,1739074,0
9:22,26.27,1741701,0
9:22,26.27,1741701,0
9:22,26.27,1752209,0
9:22,26.27,1831019,0
9:22,26.27,1831019,0
9:22,26.27,1831019,0
9:22,26.27,1933472,0
9:23,26.27,2001774,0
9:23,26.27,2109481,0
9:23,26.27,2190918,0
9:23,26.27,2240831,0
9:23,26.27,2267101,0
9:23,26.28,2307384,0
9:23,26.27,2498277,0
9:23,26.27,2613865,0
9:23,26.27,2661151,0
9:23,26.27,2690048,0
9:23,26.27,2695302,0
9:23,26.27,2697929,0
9:23,26.27,2703183,0
9:23,26.27,2716318,0
9:23,26.27,2729453,0
9:23,26.27,2734707,0
9:23,26.27,2760977,0
9:23,26.28,2877660,0
9:24,26.28,2893428,0
9:24,26.28,2901312,0
9:24,26.28,2911824,0
9:24,26.27,3443997,0
9:24,26.27,3475521,0
9:24,26.27,3646276,0
9:24,26.27,3662038,0
9:24,26.27,3801269,0
9:24,26.27,4287264,0
9:24,26.27,4526321,0
9:24,26.27,4589369,0
9:24,26.27,4699703,0
9:24,26.27,5259254,0
9:24,26.27,5353826,0
9:24,26.28,5663340,0
9:24,26.28,5802624,0
9:24,26.28,5997096,0
9:24,26.28,6044400,0
9:24,26.28,6094332,0
9:24,26.28,6286176,0
9:25,26.3,7395560,363
9:30,26.35,706180,34
9:30,26.35,1467695,99
9:30,26.34,2441718,110
9:30,26.36,748624,62
9:30,26.41,1671753,155
9:30,26.39,1113658,121
9:30,26.41,1682845.2,131
9:30,26.4,2265120,128
9:30,26.4,2874960,136
9:30,26.39,1440894,87
9:30,26.41,995657,78
9:30,26.4,1713360,74
9:30,26.4,604560,50
9:30,26.37,709353,46
9:30,26.37,4142727,138
9:30,26.36,622096,40
9:30,26.39,799617,57
9:30,26.39,480298,73
9:30,26.37,656613,40
9:30,26.38,403614,31
9:31,26.38,648948,51
9:31,26.32,1218616,59
9:31,26.31,1297083,55
9:31,26.3,1070410,64
9:31,26.29,4261609,284
