时间,成交,金额,笔数
9:15,7.05,7050,0
9:15,7.01,17525,0
9:15,7.05,22560,0
9:15,7.05,23970,0
9:15,7.05,23970,0
9:15,7.05,34545,0
9:15,7.05,35955,0
9:16,7.05,25380,0
9:17,7.05,25380,0
9:17,7.11,711711,0
9:18,7.11,711711,0
9:18,7.05,25380,0
9:18,7.05,23970,0
9:19,7,23100,0
9:20,7,23100,0
9:20,7,23800,0
9:20,7,23800,0
9:22,7,34300,0
9:22,7.01,34349,0
9:23,7.01,35751,0
9:23,7.01,35751,0
9:23,7,70700,0
9:23,7,70700,0
9:23,7,71400,0
9:24,7,85400,0
9:24,7,92400,0
9:24,7,93100,0
9:24,7,103600,0
9:24,7.01,103748,0
9:24,7,151900,0
9:25,7,192500,38
9:30,7,0,0
9:30,7,4200,1
9:30,7.03,125134,14
9:30,7,79100,20
9:30,7.01,70100,30
9:30,7.01,60987,39
9:30,7.02,59670,19
9:30,7.03,175750,31
9:30,7.04,71808,13
9:30,7.03,66785,19
9:30,7.03,61864,26
9:30,7.02,71604,20
9:30,7.01,133891,30
9:30,7.01,178054,40
9:30,7,91700,34
9:30,7,21000,11
9:30,6.99,28659,9
9:30,7,6300,4
9:30,7,2100,2
9:30,7,0,0
9:31,7.01,18226,11
9:31,7.01,25937,23
9:31,7.01,0,0
9:31,7.03,8436,10
9:31,7.01,3505,2
9:31,7.01,0,0
9:31,7.01,6309,8
9:31,7.01,21731,11
9:31,7.01,0,0
9:31,7.01,0,0
9:31,7.01,22432,5
9:31,7.01,0,0
9:31,7.01,2103,3
9:31,7.01,21030,7
9:31,7.01,11216,4
9:31,7.01,6309,9
9:31,7.01,0,0
9:31,7.01,0,0
9:31,7.01,0,0
9:32,7.02,21762,11
9:32,7.02,52650,12
9:32,7.03,175047,16
9:32,7.04,87296,9
9:32,7.03,6327,5
9:32,7.03,28823,8
9:32,7.02,192348,7
9:32,7.02,10530,2
9:32,7.02,0,0
9:32,7.03,4218,3
9:32,7.02,2106,2
9:32,7.03,5624,1
9:32,7.03,703,1
9:32,7.03,3515,5
9:32,7.03,2109,3
9:32,7.04,13376,3
9:32,7.03,703,1
9:32,7.03,703,1
9:32,7.03,39368,26
9:32,7.03,4218,4
9:33,7.02,20358,11
9:33,7.02,0,0
9:33,7.02,2808,1
9:33,7.02,0,0
9:33,7.02,59670,13
9:33,7.02,15444,4
9:33,7.02,14040,6
9:33,7.01,39957,12
9:33,7.01,0,0
9:33,7.02,702,1
9:33,7.02,0,0
9:33,7.02,0,0
9:33,7.02,0,0
9:33,7.02,9828,2
9:33,7.02,1404,1
9:33,7.01,23133,4
9:33,7.02,702,1
9:33,7.01,1402,1
9:33,7.01,2103,1
9:34,7.01,241144,2
9:34,7.01,461959,17
9:34,7.01,40658,6
9:34,7.01,701,1
9:34,7.02,3510,3
9:34,7.01,119871,18
9:34,7.01,701,1
9:34,7.01,2804,2
9:34,7.01,701,1
9:34,7.02,11934,3
9:34,7.01,2103,1
9:34,7.01,0,0
9:34,7.01,18927,2
9:34,7.01,701,1
9:34,7.01,15422,6
9:34,7.02,65286,12
9:34,7.02,0,0
9:34,7.02,0,0
9:34,7.02,7020,6
9:35,7.01,7010,6
9:35,7.02,14742,1
9:35,7.02,18954,2
9:35,7.02,0,0
9:35,7.02,37206,9
9:35,7.02,2808,1
9:35,7.02,5616,1
9:35,7.02,28782,6
9:35,7.02,97578,23
9:35,7.03,15466,12
9:35,7.02,4914,3
9:35,7.03,3515,2
9:35,7.03,24605,5
9:35,7.03,17575,1
9:35,7.03,0,0
9:35,7.03,36556,15
9:35,7.03,23902,3
9:35,7.03,28823,4
9:36,7.02,23166,6
9:36,7.02,4212,1
9:36,7.03,6327,3
9:36,7.03,3515,2
9:36,7.03,133570,3
9:36,7.03,2109,3
9:36,7.03,5624,2
9:36,7.02,2106,1
9:36,7.03,2812,2
9:36,7.03,0,0
9:36,7.02,12636,4
9:36,7.02,4212,1
9:36,7.02,2808,2
9:36,7.03,703,1
