排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
91,化债(AMC)概念,BK0980,975.67,-8.34,-0.85,949538640000,1.5,17,41,久其软件,6.14
92,上证380,BK0705,2235.18,-19.4,-0.86,7523729152000,1.03,107,266,华贸物流,10.03
93,人造肉,BK0866,922.24,-7.96,-0.86,180465125000,2.97,5,12,嘉华股份,3.77
94,冷链物流,BK0852,1708.19,-14.83,-0.86,1445472128000,2.3,29,83,立方制药,9.99
95,富时罗素,BK0867,1428.87,-12.48,-0.87,60181222912000,0.94,375,882,华贸物流,10.03
96,装配建筑,BK0945,896.34,-8.03,-0.89,1375336224000,1.14,21,66,华建集团,10.07
97,职业教育,BK1022,1168.5,-10.59,-0.9,600583856000,4.09,20,45,久其软件,6.14
98,AB股,BK0498,10519.31,-96.91,-0.91,1296447584000,1.48,18,54,特  力Ａ,9.99
99,B股,BK0636,830.69,-7.9,-0.94,411615536000,0.16,10,65,特  力Ｂ,3.71
100,天然气,BK0843,1247.57,-12.07,-0.96,4592894464000,0.7,29,93,乐山电力,10.01
101,煤化工,BK0492,8556.35,-83.64,-0.97,2291373072000,1.1,16,54,天沃科技,10.02
102,小金属概念,BK0695,2279.27,-22.45,-0.98,2690416000000,1.39,25,82,华茂股份,10.0
103,远程办公,BK0912,1309.26,-13.0,-0.98,685181136000,2.75,7,31,恒锋信息,20.0
104,航母概念,BK0715,816.65,-8.19,-0.99,1012662640000,1.09,9,26,普利特,7.53
105,生物识别,BK0970,1350.96,-13.67,-1.0,971810576000,2.37,9,40,雄帝科技,8.01
106,ST股,BK0511,5346.42,-53.86,-1.0,521057136000,1.77,39,86,ST宇顺,5.03
107,复合集流体,BK1113,749.61,-7.59,-1.0,197615479000,1.69,3,22,汇成真空,15.15
108,托育服务,BK1074,647.8,-6.53,-1.0,45095108000,3.51,2,6,孩子王,2.09
109,风能,BK0595,1867.64,-19.33,-1.02,6150606336000,1.27,60,157,天沃科技,10.02
110,生物质能发电,BK1098,921.21,-9.48,-1.02,197884623000,2.87,5,19,宁波能源,2.61
111,独家药品,BK0676,2291.78,-23.56,-1.02,710166320000,1.02,8,33,立方制药,9.99
112,在线教育,BK0662,1920.65,-19.82,-1.02,1349959792000,2.73,30,85,无线传媒,7.38
113,深成500,BK0568,1044.39,-11.01,-1.04,20826349312000,1.28,118,373,山金国际,6.15
114,EDA概念,BK0946,1083.96,-11.44,-1.04,236674679000,2.33,2,12,华大九天,0.21
115,星闪概念,BK1149,1284.01,-13.71,-1.06,443049328000,2.72,7,27,康希通信,5.02
