序号,股票代码,股票简称,最新价,量价齐升天数,阶段涨幅,累计换手率,所属行业
106,002639,雪人股份,7.86,2,9.17,35.29,通用设备
107,002661,克明食品,10.31,2,5.1,9.55,食品加工制造
108,002668,TCL智家,9.98,2,2.57,2.73,白色家电
109,002686,亿利达,5.36,2,0.75,5.29,通用设备
110,002687,乔治白,4.18,2,2.45,3.81,服装家纺
111,002701,奥瑞金,5.37,2,6.13,3.09,包装印刷
112,002709,天赐材料,16.67,2,-1.54,3.11,电池
113,002712,思美传媒,5.28,2,6.45,5.67,文化传媒
114,002719,麦趣尔,8.79,2,22.42,14.62,食品加工制造
115,002727,一心堂,13.09,2,3.15,3.29,医药商业
116,002748,ST世龙,7.81,2,6.84,2.56,化学原料
117,002750,*ST龙津,1.28,2,3.23,4.76,中药
118,002753,永东股份,6.16,2,1.99,4.56,橡胶制品
119,002759,天际股份,7.03,2,1.15,2.53,电池
120,002760,凤形股份,18.08,2,7.3,15.32,通用设备
121,002763,汇洁股份,6.43,2,2.72,2.27,服装家纺
122,002793,罗欣药业,4.25,2,15.49,3.96,化学制药
123,002795,永和智控,4.55,2,7.06,11.86,通用设备
124,002809,红墙股份,7.84,2,1.69,6.52,化学制品
125,002820,桂发祥,12.3,2,15.71,15.8,食品加工制造
126,002827,高争民爆,26.35,2,2.25,6.17,化学制品
127,002836,新宏泽,7.9,2,3.13,4.1,包装印刷
128,002847,盐津铺子,83.66,2,10.66,5.0,食品加工制造
129,002848,高斯贝尔,5.34,2,3.09,14.78,黑色家电
130,002857,三晖电气,13.92,2,2.28,7.78,电网设备
131,002862,实丰文化,22.91,2,2.32,18.61,家居用品
132,002867,周大生,13.73,2,4.97,2.54,服装家纺
133,002878,元隆雅图,13.55,2,3.83,14.09,文化传媒
134,002882,金龙羽,16.71,2,9.72,6.26,电网设备
135,002893,京能热力,9.83,2,3.26,5.49,电力
136,002948,青岛银行,4.13,2,4.03,2.37,银行
137,002950,奥美医疗,8.31,2,3.62,5.43,医疗器械
138,002995,天地在线,16.91,2,1.08,6.33,文化传媒
139,003017,大洋生物,19.8,2,0.1,5.67,化学原料
140,003018,金富科技,9.83,2,4.46,3.77,包装印刷
141,003020,立方制药,23.01,2,21.55,7.86,化学制药
142,300010,豆神教育,7.05,2,3.22,9.62,教育
143,300019,硅宝科技,17.59,2,1.97,8.0,化学制品
144,300040,九洲集团,6.79,2,11.68,24.47,电力
145,300055,万邦达,4.74,2,-1.04,2.11,石油加工贸易
146,300068,南都电源,14.68,2,-0.61,12.38,电池
147,300069,金利华电,16.65,2,4.19,6.63,电网设备
148,300071,福石控股,4.99,2,3.53,15.51,文化传媒
149,300082,奥克股份,5.63,2,0.9,2.31,化学原料
150,300128,锦富技术,5.13,2,4.06,7.4,电池
151,300132,青松股份,5.26,2,6.05,7.23,美容护理
152,300173,福能东方,5.24,2,-0.57,9.69,电池
153,300181,佐力药业,16.55,2,0.49,7.57,中药
154,300200,高盟新材,11.42,2,10.87,44.94,化学制品
155,300209,*ST有树,5.22,2,14.22,4.95,互联网电商
156,300220,金运激光,14.45,2,3.58,15.54,自动化设备
157,300227,光韵达,7.79,2,1.3,5.91,自动化设备
158,300242,佳云科技,3.96,2,1.02,10.22,文化传媒
159,300269,联建光电,3.42,2,0.88,7.1,光学光电子
160,300311,任子行,5.61,2,1.08,13.49,软件开发
161,300317,珈伟新能,3.33,2,1.22,6.13,电力
162,300335,迪森股份,4.77,2,2.14,11.36,电力
163,300343,ST联创,3.96,2,4.21,6.08,化学制品
164,300378,鼎捷数智,32.89,2,4.81,12.88,软件开发
165,300402,宝色股份,16.44,2,0.31,13.74,通用设备
166,300459,汤姆猫,5.0,2,0.4,11.31,游戏
167,300464,星徽股份,5.01,2,15.7,11.33,互联网电商
168,300467,迅游科技,16.88,2,1.2,12.89,游戏
169,300477,合纵科技,2.59,2,0.39,12.94,电网设备
170,300492,华图山鼎,85.88,2,2.57,0.77,建筑装饰
171,300499,高澜股份,17.82,2,4.03,15.68,专用设备
172,300501,海顺新材,14.2,2,4.18,8.37,包装印刷
173,300518,新迅达,9.69,2,5.67,4.74,互联网电商
174,300530,领湃科技,25.87,2,22.66,9.61,电池
175,300550,和仁科技,11.77,2,0.09,2.64,软件开发
176,300557,理工光科,29.15,2,0.07,4.02,通用设备
177,300568,星源材质,8.95,2,-0.89,4.24,电池
178,300592,华凯易佰,12.07,2,4.77,11.38,互联网电商
179,300619,金银河,24.89,2,6.28,9.93,电池
180,300640,德艺文创,5.36,2,4.28,15.88,家居用品
181,300658,延江股份,5.36,2,1.9,6.6,美容护理
182,300694,蠡湖股份,12.5,2,1.71,8.06,汽车零部件
183,300701,森霸传感,9.49,2,3.72,4.64,光学光电子
184,300703,创源股份,15.09,2,21.89,34.02,家居用品
185,300710,万隆光电,16.34,2,0.68,4.36,通信设备
186,300757,罗博特科,171.7,2,6.2,6.92,自动化设备
187,300758,七彩化学,14.36,2,0.42,25.07,化学制品
188,300770,新媒股份,37.81,2,1.37,1.88,文化传媒
189,300771,智莱科技,9.57,2,1.38,7.12,计算机设备
190,300781,因赛集团,50.08,2,6.67,13.27,文化传媒
191,300783,三只松鼠,31.18,2,7.07,24.21,食品加工制造
192,300817,双飞集团,23.86,2,3.42,25.98,通用设备
193,300824,北鼎股份,9.02,2,0.89,4.91,小家电
194,300834,星辉环材,19.08,2,1.11,2.71,塑料制品
195,300880,迦南智能,22.77,2,3.22,4.26,电网设备
