序号,股票代码,股票简称,最新价,量价齐升天数,阶段涨幅,累计换手率,所属行业
456,002262,恩华药业,22.07,1,-2.3,1.47,化学制药
457,002264,新华都,6.21,1,-6.05,12.67,文化传媒
458,002279,久其软件,7.07,1,5.84,7.36,软件开发
459,002309,*ST中利,2.55,1,-1.16,0.62,电网设备
460,002318,久立特材,24.17,1,-0.08,0.57,钢铁
461,002322,理工能科,12.68,1,-3.13,2.08,软件开发
462,002324,普利特,9.82,1,7.2,1.65,塑料制品
463,002326,永太科技,9.42,1,-2.48,2.03,化学制品
464,002327,富安娜,8.42,1,-0.47,0.89,服装家纺
465,002343,慈文传媒,6.91,1,7.3,3.31,影视院线
466,002360,同德化工,4.56,1,-2.77,1.76,化学制品
467,002393,力生制药,15.92,1,-1.73,0.74,化学制药
468,002400,省广集团,7.01,1,-1.96,4.16,文化传媒
469,002402,和而泰,18.28,1,-4.69,11.09,白色家电
470,002440,闰土股份,6.4,1,-1.69,0.68,化学制品
471,002469,三维化学,8.02,1,-1.6,5.66,化学原料
472,002471,中超控股,3.19,1,-5.9,21.84,电网设备
473,002474,榕基软件,6.13,1,-2.85,5.67,IT服务
474,002488,金固股份,11.95,1,-1.24,1.07,汽车零部件
475,002490,ST墨龙,3.85,1,-2.04,3.49,专用设备
476,002507,涪陵榨菜,13.55,1,-0.66,1.67,食品加工制造
477,002511,中顺洁柔,6.54,1,-0.76,0.89,美容护理
478,002520,日发精机,5.7,1,-4.68,7.6,通用设备
479,002529,海源复材,6.6,1,-1.49,6.96,专用设备
480,002553,南方精工,20.78,1,5.43,25.29,汽车零部件
481,002557,洽洽食品,27.33,1,0.59,3.16,食品加工制造
482,002563,森马服饰,6.93,1,-1.14,0.84,服装家纺
483,002564,天沃科技,4.83,1,10.02,0.14,专用设备
484,002569,ST步森,6.74,1,-3.99,1.41,服装家纺
485,002574,明牌珠宝,6.0,1,-2.12,8.12,服装家纺
486,002580,圣阳股份,11.38,1,-5.56,13.04,电池
487,002582,好想你,11.12,1,0.36,25.49,食品加工制造
488,002585,双星新材,4.69,1,-1.88,0.97,塑料制品
489,002597,金禾实业,23.41,1,-3.31,1.14,化学制品
490,002605,姚记科技,26.13,1,-2.79,6.96,游戏
491,002611,东方精工,11.79,1,-2.32,12.47,专用设备
492,002612,朗姿股份,16.19,1,0.81,5.65,服装家纺
493,002623,亚玛顿,13.34,1,-3.12,1.08,光伏设备
494,002634,棒杰股份,3.32,1,-2.35,1.86,服装家纺
495,002637,赞宇科技,8.47,1,-3.31,1.41,化学制品
496,002650,ST加加,4.68,1,-0.64,0.36,食品加工制造
497,002657,中科金财,17.47,1,-2.35,6.27,IT服务
498,002664,信质集团,15.06,1,-3.59,3.43,汽车零部件
499,002667,威领股份,13.68,1,-3.39,16.9,能源金属
500,002702,海欣食品,4.11,1,-0.73,9.52,食品加工制造
501,002717,岭南股份,3.0,1,-6.56,9.86,环境治理
502,002721,ST金一,2.51,1,-1.57,0.73,服装家纺
503,002731,萃华珠宝,9.5,1,-1.35,3.06,服装家纺
504,002734,利民股份,11.76,1,-2.73,16.63,农化制品
505,002739,万达电影,11.13,1,-1.59,1.1,影视院线
506,002743,富煌钢构,5.94,1,-2.14,6.51,建筑装饰
507,002752,昇兴股份,5.34,1,-1.48,1.57,包装印刷
508,002769,普路通,6.72,1,-1.32,2.4,物流
509,002783,凯龙股份,7.67,1,-1.79,2.97,化学制品
510,002789,建艺集团,7.54,1,-5.99,14.6,建筑装饰
511,002791,坚朗五金,25.76,1,-1.6,7.73,建筑材料
512,002796,世嘉科技,10.62,1,-6.35,5.01,通信设备
513,002805,丰元股份,11.34,1,-3.57,4.17,电池
514,002807,江阴银行,4.31,1,0.7,1.38,银行
515,002839,张家港行,4.13,1,,0.97,银行
516,002840,华统股份,11.2,1,-3.37,3.83,食品加工制造
517,002871,伟隆股份,9.0,1,-1.42,2.14,通用设备
518,002872,ST天圣,4.0,1,-0.5,1.02,化学制药
519,002885,京泉华,12.34,1,-1.28,3.97,其他电子
520,002886,沃特股份,16.93,1,-2.92,4.92,塑料制品
521,002889,东方嘉盛,20.46,1,0.1,3.96,物流
522,002890,弘宇股份,11.01,1,-2.31,5.1,专用设备
523,002910,庄园牧场,9.15,1,-0.87,13.57,饮料制造
524,002915,中欣氟材,11.62,1,-3.41,2.4,化学制品
525,002923,润都股份,12.95,1,-10.01,16.83,化学制药
526,002933,新兴装备,31.17,1,0.16,3.52,军工装备
527,002966,苏州银行,7.98,1,1.92,0.92,银行
528,002969,嘉美包装,3.15,1,-1.87,1.51,包装印刷
529,002973,侨银股份,10.11,1,-3.07,1.45,环境治理
530,002980,华盛昌,23.69,1,-1.95,3.31,电网设备
531,002991,甘源食品,79.94,1,-3.69,6.49,食品加工制造
532,003000,劲仔食品,13.56,1,-3.14,19.05,食品加工制造
533,003003,天元股份,9.44,1,-5.04,13.22,包装印刷
534,003008,开普检测,19.38,1,-2.95,1.64,其他社会服务
535,003016,欣贺股份,6.89,1,-0.29,1.45,服装家纺
536,003027,同兴科技,14.17,1,-2.14,1.62,环境治理
537,003043,华亚智能,56.66,1,3.53,7.83,半导体
538,300017,网宿科技,10.77,1,0.28,3.52,IT服务
539,300030,阳普医疗,5.39,1,-4.6,2.67,医疗器械
540,300035,中科电气,14.37,1,-2.44,5.37,电池
541,300048,合康新能,4.88,1,-2.79,1.43,建筑装饰
542,300073,当升科技,37.26,1,-2.23,2.64,电池
543,300083,创世纪,8.09,1,-1.7,8.16,通用设备
544,300100,双林股份,74.15,1,0.45,14.18,汽车零部件
545,300109,新开源,15.46,1,-3.86,4.25,化学制品
546,300111,向日葵,2.75,1,-2.48,1.11,化学制药
547,300113,顺网科技,17.09,1,-2.62,3.76,通信服务
548,300121,阳谷华泰,11.89,1,3.12,4.72,橡胶制品
549,300133,华策影视,6.68,1,-2.48,5.29,影视院线
550,300146,汤臣倍健,11.23,1,-0.27,0.9,食品加工制造
551,300148,天舟文化,4.09,1,-2.39,5.5,文化传媒
552,300154,瑞凌股份,9.1,1,-3.7,3.21,通用设备
553,300160,秀强股份,5.04,1,-1.37,1.29,白色家电
554,300161,华中数控,26.26,1,-3.85,3.31,通用设备
555,300163,ST先锋,2.91,1,-2.35,4.67,家居用品
556,300170,汉得信息,16.45,1,-2.66,9.82,IT服务
557,300171,东富龙,11.56,1,-2.12,1.52,医疗器械
558,300174,元力股份,14.26,1,-0.7,1.42,化学制品
559,300175,ST朗源,4.83,1,-1.23,3.44,农产品加工
560,300206,理邦仪器,10.83,1,-3.04,1.22,医疗器械
561,300208,*ST中程,1.83,1,-4.19,1.46,综合
562,300239,东宝生物,5.01,1,-5.47,3.8,生物制品
563,300250,初灵信息,14.21,1,-3.92,7.5,IT服务
564,300261,雅本化学,6.18,1,-0.64,2.89,农化制品
565,300263,隆华科技,6.82,1,-4.08,4.57,通用设备
566,300266,兴源环境,2.23,1,-0.89,3.09,环境治理
567,300278,华昌达,5.44,1,-3.89,3.06,自动化设备
568,300289,利德曼,4.4,1,-3.08,1.29,医疗器械
569,300299,富春股份,5.4,1,-2.7,4.04,游戏
570,300305,裕兴股份,5.0,1,-3.29,1.3,塑料制品
571,300307,慈星股份,8.1,1,-5.15,4.38,专用设备
572,300331,苏大维格,18.34,1,-3.42,6.32,光学光电子
573,300340,科恒股份,8.97,1,-4.37,4.79,电池
574,300345,华民股份,6.11,1,0.49,9.52,光伏设备
575,300350,华鹏飞,6.2,1,-6.2,29.02,物流
576,300354,东华测试,39.42,1,-2.95,5.11,通用设备
577,300376,ST易事特,3.3,1,-1.79,1.19,其他电源设备
578,300385,雪浪环境,4.56,1,-1.72,1.37,环保设备
579,300403,汉宇集团,14.9,1,-0.53,18.0,白色家电
580,300409,道氏技术,13.73,1,-2.9,5.6,电池
581,300410,正业科技,4.74,1,-4.44,2.59,电池
582,300419,ST浩丰,5.09,1,-1.93,2.84,IT服务
583,300435,中泰股份,12.37,1,-2.52,1.8,燃气
584,300438,鹏辉能源,23.4,1,-2.01,3.29,电池
585,300444,双杰电气,6.52,1,-8.17,6.4,电网设备
586,300450,先导智能,19.45,1,0.41,2.06,电池
587,300452,山河药辅,12.51,1,-4.28,18.31,化学制药
588,300470,中密控股,34.38,1,-2.61,1.57,通用设备
589,300473,德尔股份,25.25,1,-2.85,7.86,汽车零部件
590,300478,杭州高新,11.66,1,-6.64,11.8,塑料制品
591,300484,蓝海华腾,17.79,1,-2.41,4.12,自动化设备
592,300490,华自科技,7.14,1,-2.99,2.35,其他电源设备
593,300494,盛天网络,10.86,1,-2.95,3.74,游戏
594,300509,新美星,7.16,1,-4.66,3.75,专用设备
595,300535,达威股份,13.57,1,-2.23,2.38,化学制品
596,300545,联得装备,29.7,1,2.87,4.64,光学光电子
597,300555,ST路通,10.18,1,-0.78,4.0,通信设备
598,300564,筑博设计,11.64,1,-3.48,3.2,建筑装饰
599,300571,平治信息,26.31,1,-3.8,5.74,文化传媒
600,300595,欧普康视,14.66,1,-2.27,2.03,医疗器械
601,300599,雄塑科技,6.87,1,-4.32,9.3,建筑材料
602,300610,晨化股份,10.05,1,4.25,2.81,化学制品
603,300633,开立医疗,31.51,1,-1.51,1.28,医疗器械
604,300641,正丹股份,29.37,1,2.37,5.79,化学制品
605,300648,星云股份,24.65,1,-2.18,4.06,电池
606,300654,世纪天鸿,9.9,1,-1.2,3.51,文化传媒
607,300666,江丰电子,71.24,1,-6.34,5.63,半导体
608,300673,佩蒂股份,14.21,1,-2.8,5.4,农产品加工
609,300683,海特生物,21.28,1,-3.62,1.12,医疗服务
610,300695,兆丰股份,56.52,1,-3.04,2.5,汽车零部件
611,300702,天宇股份,18.94,1,1.07,2.52,化学制药
612,300707,威唐工业,13.38,1,-3.74,5.54,汽车零部件
613,300708,聚灿光电,10.94,1,-2.58,4.42,光学光电子
614,300712,永福股份,21.77,1,-2.77,1.68,建筑装饰
615,300715,凯伦股份,9.74,1,-2.21,1.74,建筑材料
616,300718,长盛轴承,74.68,1,-3.7,10.66,通用设备
617,300729,乐歌股份,15.92,1,11.25,7.43,家居用品
618,300740,水羊股份,11.61,1,-3.49,3.9,美容护理
619,300743,天地数码,14.43,1,-1.3,3.87,计算机设备
620,300750,宁德时代,222.56,1,-2.46,0.68,电池
621,300774,倍杰特,8.19,1,-2.38,1.65,环境治理
622,300775,三角防务,24.9,1,2.26,3.99,军工装备
623,300776,帝尔激光,57.09,1,-1.48,2.01,光伏设备
624,300784,利安科技,49.28,1,0.9,4.24,消费电子
625,300789,唐源电气,24.31,1,-2.6,8.36,计算机设备
626,300791,仙乐健康,24.33,1,-2.68,1.88,食品加工制造
627,300808,久量股份,25.38,1,-1.93,1.25,光学光电子
628,300837,浙矿股份,19.94,1,-1.09,1.01,专用设备
629,300853,申昊科技,20.74,1,-1.89,6.32,自动化设备
630,300854,中兰环保,12.85,1,-3.24,2.89,环境治理
631,300856,科思股份,21.73,1,-1.32,1.12,美容护理
632,300858,科拓生物,14.12,1,-3.68,9.61,化学制品
633,300860,锋尚文化,25.15,1,-1.64,3.52,其他社会服务
634,300864,南大环境,19.17,1,-1.59,0.64,环境治理
635,300876,蒙泰高新,25.68,1,-3.02,1.37,化学纤维
636,300879,大叶股份,15.54,1,-3.18,3.92,专用设备
637,300885,海昌新材,12.8,1,-6.51,13.17,通用设备
638,300890,翔丰华,25.73,1,-3.49,6.52,电池
639,300894,火星人,12.78,1,-2.29,2.65,厨卫电器
640,300896,爱美客,182.15,1,-1.69,1.68,美容护理
641,300897,山科智能,25.59,1,-1.12,3.1,通用设备
642,300901,中胤时尚,12.88,1,-0.77,2.27,服装家纺
643,300905,宝丽迪,23.38,1,-2.3,3.05,化学纤维
644,300909,汇创达,23.97,1,-2.56,2.27,光学光电子
645,300918,南山智尚,15.51,1,-5.54,7.66,服装家纺
646,300927,江天化学,30.68,1,1.93,17.84,化学原料
647,300935,盈建科,19.55,1,-0.05,2.46,软件开发
648,300938,信测标准,29.72,1,-4.44,6.32,其他社会服务
649,300943,春晖智控,12.15,1,-3.03,3.36,通用设备
650,300946,恒而达,27.83,1,-2.52,3.86,通用设备
651,300955,嘉亨家化,16.03,1,-2.73,7.99,美容护理
652,300957,贝泰妮,42.5,1,-2.75,2.09,美容护理
653,300963,中洲特材,16.2,1,-6.31,42.04,金属新材料
654,300967,晓鸣股份,22.4,1,-7.48,26.3,养殖业
655,300971,博亚精工,20.77,1,-4.02,4.86,专用设备
656,300972,万辰集团,114.4,1,1.24,2.31,零售
657,300973,立高食品,44.94,1,1.28,5.89,食品加工制造
658,300995,奇德新材,28.17,1,-9.13,20.92,塑料制品
659,301003,江苏博云,25.21,1,-2.06,1.86,塑料制品
660,301012,扬电科技,23.24,1,-2.35,3.61,电网设备
661,301023,江南奕帆,57.7,1,-2.07,5.89,电机
662,301035,润丰股份,56.29,1,2.2,0.3,农化制品
663,301037,保立佳,11.6,1,-2.28,5.65,化学制品
664,301057,汇隆新材,14.17,1,-1.05,5.19,化学纤维
665,301076,新瀚新材,23.18,1,-2.52,3.73,化学制品
666,301079,邵阳液压,24.76,1,-8.06,38.12,工程机械
667,301087,可孚医疗,32.54,1,-1.75,1.78,医疗器械
668,301098,金埔园林,7.66,1,-1.29,2.02,建筑装饰
669,301100,风光股份,14.56,1,-2.87,1.8,化学制品
670,301105,鸿铭股份,28.62,1,-3.71,10.57,专用设备
671,301108,洁雅股份,29.47,1,0.48,9.89,美容护理
672,301135,瑞德智能,21.55,1,-2.62,2.87,白色家电
673,301138,华研精机,28.21,1,-2.72,4.95,专用设备
674,301152,天力锂能,21.32,1,-2.38,3.39,电池
675,301168,通灵股份,26.88,1,-2.92,6.23,光伏设备
676,301173,毓恬冠佳,48.8,1,0.41,9.6,汽车零部件
677,301198,喜悦智行,9.31,1,-3.32,1.93,包装印刷
678,301208,中亦科技,40.55,1,-2.78,25.73,IT服务
679,301212,联盛化学,21.98,1,-3.26,9.18,化学制品
680,301222,浙江恒威,24.48,1,-2.55,2.81,电池
681,301228,实朴检测,23.96,1,-0.58,6.21,其他社会服务
682,301238,瑞泰新材,16.66,1,-4.25,12.88,电池
683,301256,华融化学,13.88,1,-7.16,13.88,化学原料
684,301290,东星医疗,22.88,1,-1.8,2.95,医疗器械
685,301292,海科新源,12.69,1,-2.31,2.33,电池
686,301295,美硕科技,19.88,1,-1.97,4.36,电网设备
687,301298,东利机械,13.76,1,-3.78,6.14,汽车零部件
688,301300,远翔新材,30.37,1,-2.79,13.34,橡胶制品
689,301313,凡拓数创,20.25,1,-3.11,5.15,文化传媒
690,301316,慧博云通,25.57,1,1.59,7.89,IT服务
691,301320,豪江智能,14.61,1,-2.14,5.98,自动化设备
692,301325,曼恩斯特,50.57,1,-1.31,8.28,电池
693,301331,恩威医药,27.37,1,-1.01,16.53,中药
694,301339,通行宝,20.79,1,-2.12,4.63,计算机设备
695,301349,信德新材,31.55,1,-2.71,1.94,电池
696,301355,南王科技,10.77,1,-6.83,12.18,包装印刷
697,301356,天振股份,14.15,1,-2.41,3.19,家居用品
698,301371,敷尔佳,33.48,1,-4.15,7.93,美容护理
699,301378,通达海,24.61,1,-3.0,3.28,软件开发
700,301397,溯联股份,28.71,1,-2.08,4.56,汽车零部件
701,301418,协昌科技,30.89,1,-2.77,3.09,自动化设备
702,301487,盟固利,18.26,1,-3.89,6.7,电池
703,301501,恒鑫生活,50.0,1,1.24,19.98,家居用品
704,301507,民生健康,12.07,1,-2.11,3.01,化学制药
705,301557,常友科技,77.0,1,5.42,8.99,风电设备
706,301565,中仑新材,20.8,1,-1.98,12.38,塑料制品
707,301571,国科天成,43.27,1,5.18,8.14,军工电子
708,301580,爱迪特,48.65,1,-1.93,3.31,医疗器械
709,301587,中瑞股份,19.87,1,-2.17,1.83,电池
710,301601,惠通科技,40.64,1,-0.47,29.53,专用设备
711,301631,壹连科技,106.39,1,0.09,5.66,汽车零部件
712,600011,华能国际,7.05,1,0.43,0.55,电力
713,600016,民生银行,4.0,1,-0.25,0.62,银行
714,600027,华电国际,5.62,1,,1.13,电力
715,600036,招商银行,41.91,1,-0.45,0.3,银行
716,600037,歌华有线,6.88,1,-1.15,0.71,文化传媒
717,600079,人福医药,20.47,1,-2.06,1.01,化学制药
718,600107,美尔雅,4.82,1,-3.6,6.45,服装家纺
719,600128,苏豪弘业,10.75,1,5.39,15.94,贸易
720,600129,太极集团,22.19,1,-0.81,4.66,中药
721,600132,重庆啤酒,58.87,1,-0.19,0.7,饮料制造
722,600137,浪莎股份,14.47,1,-2.36,1.21,服装家纺
723,600177,雅戈尔,7.97,1,0.38,0.39,服装家纺
724,600179,安通控股,2.9,1,-3.01,1.9,港口航运
725,600193,创兴资源,3.54,1,-7.33,6.24,建筑装饰
726,600215,派斯林,9.76,1,2.85,9.29,自动化设备
727,600229,城市传媒,6.47,1,-0.77,0.74,文化传媒
728,600234,*ST科新,6.17,1,-2.22,0.77,建筑装饰
729,600258,首旅酒店,15.92,1,3.92,2.11,旅游及酒店
730,600259,广晟有色,36.3,1,0.83,3.62,小金属
731,600283,钱江水利,9.87,1,-1.79,2.9,环境治理
732,600285,羚锐制药,22.89,1,-0.44,1.25,中药
733,600288,大恒科技,8.13,1,-2.87,2.25,软件开发
734,600289,*ST信通,7.18,1,4.66,3.79,通信服务
735,600303,ST曙光,3.87,1,4.88,0.19,汽车整车
736,600315,上海家化,21.4,1,-2.06,2.7,美容护理
737,600345,长江通信,22.32,1,-3.04,3.72,通信设备
738,600354,敦煌种业,6.31,1,-4.39,18.43,种植业与林业
739,600373,中文传媒,11.7,1,0.09,2.94,文化传媒
740,600375,*ST汉马,6.46,1,1.41,0.9,汽车整车
741,600381,ST春天,4.39,1,-4.57,2.03,食品加工制造
742,600382,广东明珠,4.31,1,-0.23,0.72,钢铁
743,600398,海澜之家,8.17,1,-4.44,0.55,服装家纺
744,600419,天润乳业,11.24,1,-2.01,5.88,饮料制造
745,600421,华嵘控股,5.93,1,-7.63,8.75,通用设备
746,600422,昆药集团,18.25,1,0.28,3.81,中药
747,600436,片仔癀,205.95,1,0.08,0.3,中药
748,600455,博通股份,24.28,1,0.12,3.06,教育
749,600479,千金药业,9.98,1,-1.19,1.25,中药
750,600490,鹏欣资源,3.99,1,-0.99,5.34,工业金属
751,600501,航天晨光,17.03,1,-3.24,2.48,专用设备
752,600509,天富能源,6.21,1,-2.36,2.67,电力
753,600535,天士力,15.22,1,-0.2,0.81,中药
754,600543,莫高股份,5.03,1,0.4,5.84,饮料制造
755,600571,信雅达,14.93,1,-5.39,11.65,IT服务
756,600595,中孚实业,3.41,1,-3.12,2.22,工业金属
757,600610,中毅达,11.21,1,4.28,21.07,化学原料
758,600623,华谊集团,6.63,1,-1.19,0.71,化学原料
759,600640,国脉文化,11.08,1,-1.77,0.57,文化传媒
760,600668,尖峰集团,10.7,1,0.28,2.22,建筑材料
761,600671,ST目药,11.88,1,-0.42,2.31,中药
762,600711,ST盛屯,5.52,1,-2.3,2.81,工业金属
763,600715,*ST文投,2.16,1,-0.92,1.15,影视院线
764,600746,江苏索普,9.26,1,-3.34,5.92,化学原料
765,600750,江中药业,23.39,1,-1.31,2.02,中药
766,600777,ST新潮,2.8,1,0.72,2.5,油气开采及服务
767,600794,保税科技,3.71,1,-0.54,7.28,物流
768,600796,钱江生化,5.32,1,-2.03,2.09,环境治理
769,600797,浙大网新,9.6,1,-6.16,17.24,IT服务
770,600804,*ST鹏博,0.98,1,-4.85,8.32,通信服务
771,600805,悦达投资,4.21,1,-2.55,1.28,综合
772,600810,神马股份,7.57,1,-0.13,0.76,化学纤维
773,600819,耀皮玻璃,4.97,1,-1.58,0.69,建筑材料
774,600884,杉杉股份,6.28,1,-2.48,1.46,光学光电子
775,600887,伊利股份,29.46,1,0.27,0.66,饮料制造
776,600889,南京化纤,15.28,1,-3.6,2.76,化学纤维
777,600894,广日股份,11.53,1,-1.12,0.92,专用设备
778,600919,江苏银行,9.7,1,1.36,0.68,银行
779,600926,杭州银行,14.58,1,0.21,0.66,银行
780,600928,西安银行,3.37,1,0.3,0.41,银行
781,600935,华塑股份,2.35,1,-0.84,0.45,化学原料
782,600961,株冶集团,9.58,1,-1.64,3.35,工业金属
783,600986,浙文互联,7.3,1,-3.69,4.66,文化传媒
784,600993,马应龙,26.82,1,-0.48,1.76,中药
785,601006,大秦铁路,6.76,1,1.2,0.46,公路铁路运输
786,601077,渝农商行,6.5,1,0.62,0.83,银行
787,601096,宏盛华源,4.1,1,-1.68,1.14,电网设备
788,601107,四川成渝,5.64,1,1.99,1.06,公路铁路运输
789,601128,常熟银行,7.21,1,0.42,2.49,银行
790,601177,杭齿前进,17.13,1,-2.5,10.6,通用设备
791,601229,上海银行,10.24,1,2.09,0.32,银行
792,601288,农业银行,5.34,1,0.75,0.19,银行
793,601318,中国平安,49.44,1,-0.78,0.38,保险
794,601566,九牧王,8.09,1,-0.98,0.64,服装家纺
795,601598,中国外运,4.9,1,,0.77,物流
796,601601,中国太保,30.09,1,-1.12,0.41,保险
797,601668,中国建筑,5.42,1,0.74,0.34,建筑装饰
798,601678,滨化股份,3.83,1,-2.3,2.13,化学原料
799,601838,成都银行,17.53,1,0.75,0.61,银行
800,601858,中国科传,18.39,1,-0.92,0.34,文化传媒
801,601860,紫金银行,2.68,1,,1.07,银行
802,601916,浙商银行,2.97,1,1.02,0.58,银行
803,601949,中国出版,6.78,1,-1.02,0.92,文化传媒
804,601997,贵阳银行,5.78,1,0.52,0.77,银行
805,603003,*ST龙宇,5.04,1,-3.63,1.85,通信服务
806,603006,联明股份,10.44,1,-3.33,1.84,汽车零部件
807,603008,喜临门,15.85,1,-1.55,1.0,家居用品
808,603017,中衡设计,7.86,1,-2.6,0.8,建筑装饰
809,603020,爱普股份,8.1,1,-1.58,1.35,化学制品
810,603022,新通联,8.06,1,-2.77,2.0,包装印刷
811,603027,千禾味业,11.71,1,2.9,1.36,食品加工制造
812,603031,安孚科技,26.6,1,-1.04,1.35,电池
813,603033,三维股份,11.48,1,-2.13,0.43,橡胶制品
814,603041,美思德,10.74,1,-1.56,0.76,化学制品
815,603043,广州酒家,16.22,1,0.56,1.14,食品加工制造
816,603051,鹿山新材,22.7,1,-2.66,1.75,化学制品
817,603058,永吉股份,7.44,1,-2.74,1.35,包装印刷
818,603065,宿迁联盛,7.17,1,-2.05,1.03,化学制品
819,603066,音飞储存,10.77,1,-1.19,3.26,物流
820,603076,乐惠国际,22.48,1,-0.57,2.33,专用设备
821,603082,北自科技,38.66,1,1.18,1.03,通用设备
822,603086,先达股份,5.4,1,-2.88,4.94,农化制品
823,603087,甘李药业,43.56,1,-1.6,1.13,生物制品
824,603115,海星股份,12.93,1,-2.71,1.03,电子化学品
825,603117,万林物流,6.09,1,-2.56,6.37,物流
826,603119,浙江荣泰,36.6,1,-4.16,7.91,汽车零部件
827,603121,华培动力,20.6,1,-0.39,7.57,汽车零部件
828,603122,合富中国,6.24,1,-2.65,1.1,医药商业
829,603139,康惠制药,19.25,1,-1.84,6.11,中药
830,603155,新亚强,12.9,1,-2.42,1.68,化学制品
831,603159,上海亚虹,12.73,1,-3.71,1.09,专用设备
832,603161,科华控股,10.39,1,-3.53,2.6,汽车零部件
833,603173,福斯达,22.49,1,-3.06,2.58,专用设备
834,603181,皇马科技,11.63,1,-1.52,1.04,化学制品
835,603189,网达软件,16.49,1,-1.2,4.02,软件开发
836,603194,中力股份,33.04,1,2.04,5.02,工程机械
837,603200,上海洗霸,37.63,1,-1.08,10.91,环境治理
838,603205,健尔康,37.69,1,10.01,4.19,医疗器械
839,603214,爱婴室,23.94,1,-0.17,13.0,零售
840,603235,天新药业,28.4,1,-2.67,1.97,化学制药
841,603257,中国瑞林,61.68,1,-1.44,58.42,建筑装饰
842,603271,永杰新材,35.42,1,-0.06,11.68,工业金属
843,603280,南方路机,22.22,1,-3.68,11.21,工程机械
844,603285,键邦股份,21.55,1,-1.15,13.28,化学制品
845,603288,海天味业,42.78,1,0.05,0.25,食品加工制造
846,603301,振德医疗,20.45,1,-2.01,0.69,医疗器械
847,603310,巍华新材,16.85,1,-0.35,2.64,化学制品
848,603318,水发燃气,6.25,1,-0.79,1.75,燃气
849,603320,迪贝电气,15.52,1,-2.94,1.99,电机
850,603332,苏州龙杰,8.69,1,-2.9,1.99,化学纤维
851,603345,安井食品,79.9,1,0.2,2.01,食品加工制造
852,603359,东珠生态,5.12,1,-5.53,10.38,环境治理
853,603389,亚振家居,6.32,1,2.1,5.32,家居用品
854,603392,万泰生物,69.99,1,2.47,0.29,医疗器械
855,603409,汇通控股,37.54,1,1.32,17.67,汽车零部件
856,603456,九洲药业,13.37,1,-4.7,6.62,医疗服务
857,603458,勘设股份,6.23,1,-3.71,3.08,建筑装饰
858,603477,巨星农牧,22.62,1,-4.27,8.94,养殖业
859,603527,众源新材,8.59,1,-2.72,2.8,工业金属
860,603536,惠发食品,9.38,1,-0.74,11.63,食品加工制造
861,603538,美诺华,13.26,1,-3.49,3.77,化学制药
862,603587,地素时尚,12.26,1,0.41,1.36,服装家纺
863,603605,珀莱雅,77.29,1,-2.47,1.45,美容护理
864,603607,京华激光,17.2,1,-5.75,7.38,包装印刷
865,603618,杭电股份,6.15,1,-3.45,2.9,电网设备
866,603648,畅联股份,10.05,1,-3.74,7.09,物流
867,603656,泰禾智能,18.11,1,-3.31,4.89,专用设备
868,603659,璞泰来,17.31,1,0.17,1.11,电池
869,603667,五洲新春,32.98,1,-2.69,5.71,通用设备
870,603687,大胜达,6.77,1,-5.05,1.59,包装印刷
871,603696,安记食品,10.26,1,9.97,9.42,食品加工制造
872,603711,香飘飘,14.17,1,-0.28,1.85,饮料制造
873,603712,七一二,19.9,1,-2.36,1.88,军工电子
874,603713,密尔克卫,48.22,1,-3.4,2.77,物流
875,603716,塞力医疗,9.63,1,-4.27,9.28,医药商业
876,603719,良品铺子,12.83,1,-1.84,4.69,食品加工制造
877,603739,蔚蓝生物,14.32,1,-5.54,11.67,化学制品
878,603777,来伊份,14.67,1,-0.61,9.19,食品加工制造
879,603801,志邦家居,10.67,1,-1.93,1.53,家居用品
880,603810,丰山集团,12.51,1,-1.65,1.31,农化制品
881,603813,原尚股份,13.69,1,-3.25,1.98,物流
882,603816,顾家家居,23.56,1,-1.63,0.93,家居用品
883,603817,海峡环保,5.41,1,-0.37,1.02,环境治理
884,603828,ST柯利达,5.15,1,-2.09,0.17,建筑装饰
885,603836,海程邦达,14.52,1,-1.89,7.7,物流
886,603839,安正时尚,5.43,1,-1.81,1.29,服装家纺
887,603859,能科科技,27.88,1,-2.69,2.19,IT服务
888,603867,新化股份,23.71,1,-2.03,1.28,化学制品
889,603877,太平鸟,16.41,1,-3.19,0.98,服装家纺
890,603879,ST永悦,4.77,1,-1.65,7.37,塑料制品
891,603885,吉祥航空,13.12,1,1.71,0.56,机场航运
892,603886,元祖股份,14.42,1,0.07,1.93,食品加工制造
893,603899,晨光股份,29.62,1,-3.17,0.62,家居用品
894,603901,永创智能,8.86,1,-3.9,3.56,专用设备
895,603903,中持股份,6.49,1,-1.82,0.9,环境治理
896,603906,龙蟠科技,9.48,1,-2.67,2.56,电池
897,603922,金鸿顺,21.92,1,,1.75,汽车零部件
898,603966,法兰泰克,8.05,1,-3.36,1.73,专用设备
899,603978,深圳新星,12.09,1,-3.28,1.72,金属新材料
900,605003,众望布艺,18.49,1,-0.16,0.96,服装家纺
901,605016,百龙创园,17.83,1,-2.67,2.93,化学制品
902,605028,世茂能源,15.76,1,-2.05,0.9,电力
903,605055,迎丰股份,5.33,1,0.19,1.33,纺织制造
904,605081,太和水,11.01,1,-4.43,7.37,环境治理
905,605088,冠盛股份,31.29,1,-2.83,4.73,汽车零部件
906,605100,华丰股份,21.2,1,-5.23,8.04,通用设备
