排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
353,存储芯片,BK1137,1340.17,4.74,0.35,1055470320000,0.4,38,19,利尔达,2.38
354,超清视频,BK0859,1791.82,6.19,0.35,2365806448000,0.27,64,29,福光股份,4.93
355,特斯拉,BK0644,5116.81,17.44,0.34,4580672768000,0.46,125,74,威尔泰,10.01
356,数字哨兵,BK1084,1457.36,4.93,0.34,95849174000,0.71,7,5,万达信息,3.29
357,MSCI中国,BK0821,1171.09,3.94,0.34,64787602688000,0.12,354,177,康龙化成,5.39
358,AI手机,BK1162,1424.53,4.78,0.34,794753728000,0.39,20,14,思泉新材,3.26
359,乳业,BK0892,1034.04,3.4,0.33,451444768000,0.35,26,3,庄园牧场,2.34
360,元宇宙概念,BK1009,2013.18,6.7,0.33,4398905856000,0.6,90,46,山水比德,11.74
361,英伟达概念,BK1161,1401.97,4.44,0.32,1294806496000,0.38,25,16,恒润股份,10.01
362,阿里概念,BK0689,2379.12,7.52,0.32,2917974272000,0.5,75,39,新华制药,5.11
363,低碳冶金,BK0979,912.24,2.9,0.32,308232880000,0.08,4,1,八一钢铁,1.23
364,云计算,BK0579,3070.54,9.4,0.31,7792998400000,0.55,144,85,广合科技,10.01
365,财税数字化,BK1176,1675.36,5.01,0.3,508656704000,0.75,25,16,东港股份,4.99
366,影视概念,BK0847,869.55,2.62,0.3,596010096000,0.38,44,17,万达电影,2.65
367,EDA概念,BK0946,1124.57,3.3,0.29,233787599000,1.05,10,3,紫光国微,1.58
368,IPv6,BK0897,1257.6,3.63,0.29,567863280000,0.19,7,3,大唐电信,1.08
369,共享经济,BK0807,883.95,2.55,0.29,243261023000,0.3,10,6,迪安诊断,2.02
370,华为汽车,BK0984,1945.81,5.66,0.29,1633423392000,0.49,56,42,美利信,4.37
371,云游戏,BK0903,1179.41,3.38,0.29,326357264000,0.41,19,6,ST惠程,2.68
372,租售同权,BK0822,719.6,2.03,0.28,405783888000,0.33,14,2,明牌珠宝,2.53
373,动力电池回收,BK1052,710.82,1.99,0.28,695672464000,0.23,22,15,德众汽车,1.91
374,参股期货,BK0524,27599.84,78.23,0.28,2867557232000,0.3,30,14,美尔雅,4.18
375,移动支付,BK0556,11488.62,31.24,0.27,3292342560000,0.43,46,21,东港股份,4.99
376,深证100R,BK0743,1089.03,2.98,0.27,12880895232000,0.15,59,39,康龙化成,5.39
377,光通信模块,BK1136,1314.4,3.55,0.27,824033568000,0.95,40,18,合锻智能,2.74
378,上证180_,BK0612,1467.48,3.89,0.27,42502494208000,0.07,106,62,中航沈飞,4.56
379,富士康,BK0842,1694.03,4.33,0.26,468913312000,0.38,23,11,深南电路,2.74
380,RCS概念,BK0919,1324.13,3.49,0.26,210772666000,0.4,16,7,国华网安,3.7
381,麒麟电池,BK1092,1303.55,3.38,0.26,1200222352000,0.36,6,2,飞荣达,0.67
382,盲盒经济,BK0954,1207.33,2.97,0.25,115388831000,0.58,7,4,金运激光,2.08
383,蓝宝石,BK0674,2476.39,6.15,0.25,516681824000,0.3,11,7,紫光国微,1.58
384,商汤概念,BK0942,1166.04,2.93,0.25,478511456000,0.25,10,4,科大讯飞,1.37
385,算力概念,BK1134,1576.88,4.0,0.25,6525547008000,0.52,76,65,恒润股份,10.01
386,HS300_,BK0500,10225.58,25.13,0.25,56627629824000,0.09,174,107,康龙化成,5.39
387,数字货币,BK0883,1725.59,4.09,0.24,813185792000,0.45,50,22,优博讯,1.94
388,3D玻璃,BK0881,1198.52,2.84,0.24,294090224000,0.4,11,6,沃格光电,2.03
389,空气能热泵,BK1102,1283.34,3.13,0.24,1198121744000,0.53,16,14,鼎汉技术,3.58
390,工业互联,BK0832,2130.21,5.2,0.24,4240830064000,0.47,123,56,星辰科技,3.29
391,化债(AMC)概念,BK0980,1009.01,2.4,0.24,983718080000,0.48,37,21,统一股份,3.71
392,液冷概念,BK1138,1182.43,2.67,0.23,1142493824000,0.56,42,21,统一股份,3.71
393,抖音概念(字节概念),BK0923,1296.0,2.95,0.23,810433056000,0.71,54,21,ST华闻,3.6
394,荣耀概念,BK1177,1553.36,3.62,0.23,999986496000,0.25,32,20,芯朋微,3.63
395,汽车热管理,BK1089,1677.9,3.72,0.22,795924352000,0.77,49,28,东风科技,6.28
396,网红直播,BK0940,653.81,1.41,0.22,1639948224000,0.55,85,41,森马服饰,10.03
397,中特估,BK1139,1060.48,2.28,0.22,23002104576000,0.05,45,25,深南电路,2.74
398,B股,BK0636,878.62,1.9,0.22,431602768000,0.04,34,28,中毅达B,5.2
399,小金属概念,BK0695,2408.82,5.4,0.22,2818380096000,0.29,63,36,尔康制药,3.47
400,3D摄像头,BK0901,1537.17,3.23,0.21,606978224000,0.2,5,4,联创电子,1.76
401,新型工业化,BK1150,1199.02,2.35,0.2,1574657632000,0.65,56,33,集智股份,5.57
402,远程办公,BK0912,1446.72,2.73,0.19,735831888000,0.48,27,12,华平股份,2.0
403,ChatGPT概念,BK1126,1941.01,3.72,0.19,1972712720000,0.48,47,22,宏景科技,4.95
404,Web3.0,BK1110,1656.44,3.08,0.19,450668256000,0.74,27,17,东港股份,4.99
405,信创,BK1104,1744.84,3.3,0.19,3571463408000,0.73,158,79,普元信息,6.67
406,铜缆高速连接,BK1168,1466.87,2.6,0.18,596996512000,0.64,19,15,金信诺,2.07
407,广电,BK0904,1477.9,2.64,0.18,242642264000,0.36,18,9,万隆光电,2.77
408,华为欧拉,BK1013,1570.37,2.59,0.17,297077792000,1.85,11,6,普元信息,6.67
409,黄金概念,BK0547,12759.36,22.15,0.17,1718150592000,0.57,28,25,恒星科技,10.13
410,互联金融,BK0637,4694.92,7.77,0.17,19017337344000,0.12,132,61,建艺集团,10.0
411,无线充电,BK0960,2457.34,4.04,0.16,2199423168000,0.37,20,21,思泉新材,3.26
412,券商概念,BK0711,1071.41,1.64,0.15,3909951712000,0.24,37,15,湘财股份,4.75
413,同步磁阻电机,BK1131,1501.63,2.22,0.15,68240698000,1.05,3,3,科汇股份,3.18
414,F5G概念,BK1088,2172.49,3.28,0.15,528601344000,0.2,14,8,金信诺,2.07
415,CPO概念,BK1128,2449.6,3.2,0.13,1226750000000,0.38,25,16,沃格光电,2.03
416,TOPCon电池,BK1097,691.89,0.81,0.12,566736160000,0.44,27,14,微导纳米,2.8
417,边缘计算,BK0860,2008.59,2.47,0.12,2879594400000,0.48,76,47,ST华闻,3.6
418,华为昇腾,BK0995,1365.42,1.44,0.11,492655456000,1.06,20,12,品茗科技,1.8
419,百元股,BK1059,616.57,0.67,0.11,11943302144000,0.23,45,39,茂莱光学,3.8
420,智能机器,BK0640,4834.92,4.44,0.09,3273672864000,0.55,100,64,天智航-U,4.59
421,百度概念,BK0845,1666.23,1.56,0.09,2581296272000,0.59,87,53,山水比德,11.74
422,Sora概念,BK1159,1522.04,1.03,0.07,353304528000,1.03,23,17,博汇科技,2.17
423,EDR概念,BK1049,1549.44,0.98,0.06,285817968000,0.34,9,5,天迈科技,2.29
424,无线耳机,BK0893,1904.55,1.08,0.06,2240678288000,0.58,47,34,乐心医疗,5.74
425,超级品牌,BK0811,2347.45,1.11,0.05,8760242688000,0.13,21,9,青岛啤酒,3.0
426,全息技术,BK0699,2327.46,1.17,0.05,149568176000,0.41,7,4,丝路视觉,1.18
427,AI智能体,BK0809,1102.2,0.32,0.03,881764352000,0.9,29,31,宏景科技,4.95
428,茅指数,BK0999,712.17,0.16,0.02,13073761792000,0.13,24,17,智飞生物,3.21
429,科创板做市商,BK1107,1377.94,-0.05,0.0,1878014336000,0.07,8,5,国金证券,0.48
430,上证50_,BK0611,1794.67,-0.23,-0.01,26793984000000,0.05,25,21,药明康德,2.29
431,Kimi概念,BK1169,1085.42,-0.24,-0.02,495917200000,0.7,15,10,世纪天鸿,1.88
432,跨境支付,BK1071,1521.67,-0.43,-0.03,11681916160000,0.07,29,21,民生银行,1.54
433,东数西算,BK1064,1645.19,-0.67,-0.04,1097885328000,0.59,31,27,恒润股份,10.01
434,退税商店,BK0933,1138.42,-0.45,-0.04,152376699000,0.17,6,3,新世界,0.82
435,高带宽内存,BK1152,982.35,-0.49,-0.05,138749195000,0.61,5,6,天马新材,1.73
436,智能电视,BK0656,1155.52,-0.74,-0.06,257412875000,0.23,8,4,天禄科技,1.92
437,世界杯,BK1105,1642.28,-1.23,-0.07,2532429952000,1.0,12,7,宇通客车,3.62
438,人形机器人,BK1184,1391.92,-1.3,-0.09,1835754784000,0.69,38,66,亿嘉和,5.72
439,短剧互动游戏,BK1151,1132.07,-2.17,-0.19,372905504000,0.75,15,11,ST中青宝,2.11
440,昨日连板,BK0816,41.23,-0.08,-0.19,42694824000,4.8,1,4,恒星科技,10.13
441,免税概念,BK0927,1251.63,-2.35,-0.19,900444688000,0.19,16,10,岭南控股,3.8
442,进口博览,BK0850,927.02,-1.96,-0.21,228939442000,0.12,13,2,兰生股份,1.69
443,工业母机,BK1004,1556.99,-3.26,-0.21,1280568240000,0.79,37,43,渤海汽车,4.14
444,快手概念,BK0972,1500.47,-3.52,-0.23,269419872000,0.81,13,15,实丰文化,3.11
445,国资云概念,BK1008,1557.71,-3.8,-0.24,393991648000,1.34,8,10,湘邮科技,1.29
446,刀片电池,BK0951,2169.32,-5.96,-0.27,1237942720000,1.03,6,7,华光新材,2.91
447,PLC概念,BK1119,1329.4,-4.14,-0.31,352673632000,0.33,5,4,睿能科技,1.52
448,VPN,BK0885,1239.98,-3.81,-0.31,329401424000,0.72,11,8,山石网科,1.49
449,减速器,BK1100,1656.84,-7.37,-0.44,664089360000,1.17,22,40,韶能股份,4.81
450,智谱AI,BK1182,1159.65,-6.03,-0.52,402463648000,1.03,13,22,海天瑞声,1.46
451,ERP概念,BK1133,1249.53,-7.47,-0.59,256054083000,0.81,9,9,天迈科技,2.29
452,腾讯云,BK1189,931.47,-5.99,-0.64,608149808000,0.97,10,12,宏景科技,4.95
453,机器人执行器,BK1145,1643.71,-11.34,-0.69,496662096000,0.8,4,21,联诚精密,1.46
454,第四代半导体,BK1121,1308.04,-11.3,-0.86,103753135000,0.62,2,1,蓝晓科技,0.98
455,昨日触板,BK0817,135.37,-2.02,-1.47,90442828000,3.99,6,16,河化股份,9.94
