日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,RSI,volume_roc,CDLMORNINGSTAR,CDLENGULFING
2025-03-31,300479,20.2,20.96,21.05,19.95,92635,190597072.0,5.38,2.49,0.51,4.7,44.26080648508505,134.8817160678516,0,100.0
2025-03-31,002380,24.64,25.02,25.6,24.23,82732,205589929.8,5.54,1.09,0.27,5.82,41.10597281521965,141.99842045221865,0,100.0
2025-03-31,002182,12.44,12.85,12.91,12.22,271475,341584186.34,5.51,2.64,0.33,3.14,50.793482907351674,125.42140662625592,0,100.0
2025-03-31,000025,16.3,18.04,18.04,16.21,292479,521235255.42,11.16,10.0,1.64,7.45,66.6575882217145,473.5219718806989,0,100.0
2025-03-31,002237,11.04,11.34,11.44,11.03,502806,566653180.97,3.69,2.07,0.23,5.52,60.4611704706078,68.80331693888171,0,100.0
2025-03-31,600498,22.1,22.57,22.74,21.67,260772,577775602.0,4.79,1.07,0.24,2.24,42.813722603014945,97.72380901832629,0,100.0
2025-03-31,301395,11.85,12.92,12.99,11.56,117588,145806601.0,11.92,7.67,0.92,10.22,60.819436848584886,92.52103867186221,0,100.0
2025-03-31,300400,16.14,16.75,17.22,15.79,114201,189100468.0,8.84,3.52,0.57,4.76,46.1963680946044,199.04160884024193,0,100.0
2025-03-31,603130,25.1,25.58,25.8,24.61,31288,78801026.0,4.73,1.59,0.4,6.13,47.60022998772405,62.00486718790452,0,100.0
2025-03-31,300041,8.79,9.49,9.67,8.79,543471,510497667.0,9.91,6.87,0.61,9.98,55.62744636534001,166.96483833888416,0,100.0
2025-03-31,002279,6.41,6.55,6.55,6.25,279193,178433720.8,4.63,1.08,0.07,3.54,37.983509363749505,61.02767299950398,0,100.0
2025-03-31,600191,6.95,7.3,7.35,6.85,147205,105722471.0,7.18,4.89,0.34,3.04,47.76848818944844,77.41099621568202,0,100.0
2025-03-31,300493,21.31,22.67,22.95,21.0,352249,772969435.0,9.05,5.2,1.12,7.03,40.64339643232372,80.60253997877369,0,100.0
