序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,concept
1,301232,飞沃科技,27.16,15.43,3.63,88049,244999806.67,10.16,28.24,25.85,25.85,23.53,19.71,-21.06,1.4,大飞机
2,000965,天保基建,3.39,10.06,0.31,742922,248788529.72,3.9,3.39,3.27,3.28,3.08,6.69,223.35,0.69,大飞机
3,002651,利君股份,6.52,5.84,0.36,234551,156971485.6,4.87,6.78,6.48,6.78,6.16,4.15,55.43,2.42,大飞机
4,300424,航新科技,14.4,3.6,0.5,173312,257350157.34,8.49,15.51,14.33,14.42,13.9,7.08,139.41,4.25,大飞机
5,300775,三角防务,25.18,3.41,0.83,268848,692633854.41,6.78,26.8,25.15,26.1,24.35,5.05,46.62,2.5,大飞机
6,600391,航发科技,23.67,3.18,0.73,383339,945034098.0,7.28,25.23,23.56,24.5,22.94,11.61,113.59,4.71,大飞机
8,001316,润贝航科,33.04,1.85,0.6,46617,162045970.68,8.14,35.68,33.04,35.68,32.44,17.13,28.41,2.3,大飞机
9,000733,振华科技,59.48,1.76,1.03,119762,703823484.0,5.71,60.49,57.15,58.19,58.45,2.16,38.36,2.28,大飞机
10,600115,中国东航,3.79,1.61,0.06,591043,223344296.0,2.68,3.81,3.71,3.72,3.73,0.35,-19.99,5.46,大飞机
11,300696,爱乐达,16.86,1.51,0.25,155863,269170073.3,8.19,18.0,16.64,17.62,16.61,8.36,-198.87,2.68,大飞机
12,002190,成飞集成,15.99,1.46,0.23,69451,113406102.22,5.08,16.79,15.99,16.55,15.76,1.94,-76.39,2.17,大飞机
13,300797,钢研纳克,15.41,1.45,0.22,138309,213027913.3,4.67,15.59,14.88,15.0,15.19,3.68,51.11,5.24,大飞机
14,002985,北摩高科,23.63,1.29,0.3,41342,100450708.66,5.57,24.93,23.63,23.8,23.33,1.99,70.64,3.08,大飞机
15,002560,通达股份,5.86,0.34,0.02,211543,127833601.0,7.71,6.3,5.85,6.17,5.84,4.67,32.09,1.17,大飞机
16,300719,安达维尔,15.63,0.32,0.05,104165,169622640.3,8.09,16.88,15.62,16.42,15.58,5.8,564.51,3.81,大飞机
17,000768,中航西飞,23.27,0.3,0.07,182826,433214778.1,3.79,24.13,23.25,24.07,23.2,0.66,63.25,3.08,大飞机
18,600893,航发动力,33.77,0.18,0.06,152830,523085104.0,4.09,35.03,33.65,34.9,33.71,0.57,104.64,2.26,大飞机
19,600372,中航机载,10.87,0.0,0.0,137900,151009045.0,1.75,11.04,10.85,11.0,10.87,0.28,50.54,1.4,大飞机
20,600862,中航高科,23.38,-0.09,-0.02,50853,120068023.0,2.56,23.94,23.34,23.58,23.4,0.37,28.26,4.6,大飞机
22,302132,中航成飞,58.46,-0.2,-0.12,35293,208529424.25,2.48,59.85,58.4,58.71,58.58,0.6,1393.34,7.85,大飞机
23,600316,洪都航空,36.81,-0.22,-0.08,75214,279672210.0,2.39,37.66,36.78,37.39,36.89,1.05,672.77,4.95,大飞机
