时间,最新价,金额,笔数,秒,成交额,代码,名称,昨收,今开,最高,最低,涨跌幅,振幅
09:25:00,6.94,206118.0,28,:00,206118.0,601007,金陵饭店,6.99,6.94,6.94,6.94,-0.72,0.0
09:30:00,6.93,39501.0,2,:00,245619.0,601007,金陵饭店,6.99,6.94,6.94,6.93,-0.86,0.14
09:30:03,6.92,366760.0,16,:03,612379.0,601007,金陵饭店,6.99,6.94,6.94,6.92,-1.0,0.29
09:30:06,6.92,13840.0,3,:06,626219.0,601007,金陵饭店,6.99,6.94,6.94,6.92,-1.0,0.29
09:30:09,6.92,45672.0,13,:09,671891.0,601007,金陵饭店,6.99,6.94,6.94,6.92,-1.0,0.29
09:30:12,6.93,219681.0,28,:12,891572.0,601007,金陵饭店,6.99,6.94,6.94,6.92,-0.86,0.29
09:30:15,6.93,12474.0,5,:15,904046.0,601007,金陵饭店,6.99,6.94,6.94,6.92,-0.86,0.29
09:30:18,6.92,75428.0,18,:18,979474.0,601007,金陵饭店,6.99,6.94,6.94,6.92,-1.0,0.29
09:30:21,6.92,29756.0,8,:21,1009230.0,601007,金陵饭店,6.99,6.94,6.94,6.92,-1.0,0.29
09:30:24,6.92,340464.0,29,:24,1349694.0,601007,金陵饭店,6.99,6.94,6.94,6.92,-1.0,0.29
09:30:27,6.91,111942.0,7,:27,1461636.0,601007,金陵饭店,6.99,6.94,6.94,6.91,-1.14,0.43
09:30:30,6.93,239085.0,30,:30,1700721.0,601007,金陵饭店,6.99,6.94,6.94,6.91,-0.86,0.43
09:30:33,6.94,70302.2,16,:33,1771023.2,601007,金陵饭店,6.99,6.94,6.94,6.91,-0.72,0.43
09:30:36,6.95,4170.0,3,:36,1775193.2,601007,金陵饭店,6.99,6.94,6.95,6.91,-0.57,0.57
09:30:39,6.94,5343.8,7,:39,1780537.0,601007,金陵饭店,6.99,6.94,6.95,6.91,-0.72,0.57
09:30:42,6.94,1388.0,1,:42,1781925.0,601007,金陵饭店,6.99,6.94,6.95,6.91,-0.72,0.57
09:30:45,6.94,28454.0,7,:45,1810379.0,601007,金陵饭店,6.99,6.94,6.95,6.91,-0.72,0.57
09:30:48,6.94,13880.0,2,:48,1824259.0,601007,金陵饭店,6.99,6.94,6.95,6.91,-0.72,0.57
09:30:51,6.93,33264.0,21,:51,1857523.0,601007,金陵饭店,6.99,6.94,6.95,6.91,-0.86,0.57
09:30:54,6.92,11764.0,2,:54,1869287.0,601007,金陵饭店,6.99,6.94,6.95,6.91,-1.0,0.57
09:30:57,6.93,39501.0,4,:57,1908788.0,601007,金陵饭店,6.99,6.94,6.95,6.91,-0.86,0.57
09:31:00,6.93,167013.0,19,:00,2075801.0,601007,金陵饭店,6.99,6.94,6.95,6.91,-0.86,0.57
09:31:03,6.94,95772.0,14,:03,2171573.0,601007,金陵饭店,6.99,6.94,6.95,6.91,-0.72,0.57
09:31:06,6.94,694.0,1,:06,2172267.0,601007,金陵饭店,6.99,6.94,6.95,6.91,-0.72,0.57
09:31:09,6.94,224162.0,61,:09,2396429.0,601007,金陵饭店,6.99,6.94,6.95,6.91,-0.72,0.57
09:31:12,6.95,164228.5,22,:12,2560657.5,601007,金陵饭店,6.99,6.94,6.95,6.91,-0.57,0.57
09:31:15,6.94,52050.0,2,:15,2612707.5,601007,金陵饭店,6.99,6.94,6.95,6.91,-0.72,0.57
09:31:18,6.93,72765.0,5,:18,2685472.5,601007,金陵饭店,6.99,6.94,6.95,6.91,-0.86,0.57
09:31:21,6.93,84546.0,21,:21,2770018.5,601007,金陵饭店,6.99,6.94,6.95,6.91,-0.86,0.57
09:31:24,6.93,0.0,0,:24,2770018.5,601007,金陵饭店,6.99,6.94,6.95,6.91,-0.86,0.57
09:31:27,6.93,30492.0,23,:27,2800510.5,601007,金陵饭店,6.99,6.94,6.95,6.91,-0.86,0.57
09:31:30,6.93,29106.0,7,:30,2829616.5,601007,金陵饭店,6.99,6.94,6.95,6.91,-0.86,0.57
09:31:33,6.93,3465.0,1,:33,2833081.5,601007,金陵饭店,6.99,6.94,6.95,6.91,-0.86,0.57
09:31:36,6.93,693.0,1,:36,2833774.5,601007,金陵饭店,6.99,6.94,6.95,6.91,-0.86,0.57
09:31:39,6.92,26988.0,3,:39,2860762.5,601007,金陵饭店,6.99,6.94,6.95,6.91,-1.0,0.57
09:31:42,6.93,693.0,1,:42,2861455.5,601007,金陵饭店,6.99,6.94,6.95,6.91,-0.86,0.57
09:31:45,6.92,4844.0,3,:45,2866299.5,601007,金陵饭店,6.99,6.94,6.95,6.91,-1.0,0.57
09:31:48,6.92,0.0,0,:48,2866299.5,601007,金陵饭店,6.99,6.94,6.95,6.91,-1.0,0.57
09:31:51,6.92,63664.0,6,:51,2929963.5,601007,金陵饭店,6.99,6.94,6.95,6.91,-1.0,0.57
09:32:00,6.92,0.0,0,:00,2929963.5,601007,金陵饭店,6.99,6.94,6.95,6.91,-1.0,0.57
09:32:03,6.93,138600.0,24,:03,3068563.5,601007,金陵饭店,6.99,6.94,6.95,6.91,-0.86,0.57
09:32:06,6.93,125433.0,27,:06,3193996.5,601007,金陵饭店,6.99,6.94,6.95,6.91,-0.86,0.57
09:32:09,6.93,55440.0,23,:09,3249436.5,601007,金陵饭店,6.99,6.94,6.95,6.91,-0.86,0.57
09:32:12,6.93,78309.0,6,:12,3327745.5,601007,金陵饭店,6.99,6.94,6.95,6.91,-0.86,0.57
09:32:15,6.94,378924.0,8,:15,3706669.5,601007,金陵饭店,6.99,6.94,6.95,6.91,-0.72,0.57
09:32:18,6.95,4170.0,2,:18,3710839.5,601007,金陵饭店,6.99,6.94,6.95,6.91,-0.57,0.57
09:32:21,6.95,33360.0,13,:21,3744199.5,601007,金陵饭店,6.99,6.94,6.95,6.91,-0.57,0.57
09:32:24,6.95,81315.0,9,:24,3825514.5,601007,金陵饭店,6.99,6.94,6.95,6.91,-0.57,0.57
09:32:27,6.95,0.0,0,:27,3825514.5,601007,金陵饭店,6.99,6.94,6.95,6.91,-0.57,0.57
09:32:30,6.97,14637.0,3,:30,3840151.5,601007,金陵饭店,6.99,6.94,6.97,6.91,-0.29,0.86
09:32:33,6.97,7667.0,2,:33,3847818.5,601007,金陵饭店,6.99,6.94,6.97,6.91,-0.29,0.86
09:32:36,6.96,80736.0,11,:36,3928554.5,601007,金陵饭店,6.99,6.94,6.97,6.91,-0.43,0.86
09:32:39,6.96,0.0,0,:39,3928554.5,601007,金陵饭店,6.99,6.94,6.97,6.91,-0.43,0.86
09:32:42,6.95,130660.0,13,:42,4059214.5,601007,金陵饭店,6.99,6.94,6.97,6.91,-0.57,0.86
09:32:45,6.95,86180.0,10,:45,4145394.5,601007,金陵饭店,6.99,6.94,6.97,6.91,-0.57,0.86
09:32:48,6.96,34800.0,11,:48,4180194.5,601007,金陵饭店,6.99,6.94,6.97,6.91,-0.43,0.86
09:32:51,6.96,0.0,0,:51,4180194.5,601007,金陵饭店,6.99,6.94,6.97,6.91,-0.43,0.86
09:32:54,6.94,38864.0,3,:54,4219058.5,601007,金陵饭店,6.99,6.94,6.97,6.91,-0.72,0.86
09:33:00,6.95,9730.0,7,:00,4228788.5,601007,金陵饭店,6.99,6.94,6.97,6.91,-0.57,0.86
09:33:03,6.95,695.0,1,:03,4229483.5,601007,金陵饭店,6.99,6.94,6.97,6.91,-0.57,0.86
09:33:06,6.95,0.0,0,:06,4229483.5,601007,金陵饭店,6.99,6.94,6.97,6.91,-0.57,0.86
09:33:09,6.95,0.0,0,:09,4229483.5,601007,金陵饭店,6.99,6.94,6.97,6.91,-0.57,0.86
09:33:12,6.95,1390.0,2,:12,4230873.5,601007,金陵饭店,6.99,6.94,6.97,6.91,-0.57,0.86
09:33:15,6.95,8340.0,10,:15,4239213.5,601007,金陵饭店,6.99,6.94,6.97,6.91,-0.57,0.86
09:33:18,6.95,1390.0,1,:18,4240603.5,601007,金陵饭店,6.99,6.94,6.97,6.91,-0.57,0.86
09:33:21,6.95,0.0,0,:21,4240603.5,601007,金陵饭店,6.99,6.94,6.97,6.91,-0.57,0.86
09:33:24,6.95,6950.0,4,:24,4247553.5,601007,金陵饭店,6.99,6.94,6.97,6.91,-0.57,0.86
09:33:27,6.95,0.0,0,:27,4247553.5,601007,金陵饭店,6.99,6.94,6.97,6.91,-0.57,0.86
09:33:30,6.95,72975.0,18,:30,4320528.5,601007,金陵饭店,6.99,6.94,6.97,6.91,-0.57,0.86
09:33:33,6.95,150120.0,9,:33,4470648.5,601007,金陵饭店,6.99,6.94,6.97,6.91,-0.57,0.86
09:33:36,6.94,11798.0,4,:36,4482446.5,601007,金陵饭店,6.99,6.94,6.97,6.91,-0.72,0.86
09:33:39,6.94,0.0,0,:39,4482446.5,601007,金陵饭店,6.99,6.94,6.97,6.91,-0.72,0.86
09:33:42,6.94,79810.0,6,:42,4562256.5,601007,金陵饭店,6.99,6.94,6.97,6.91,-0.72,0.86
09:33:45,6.95,45175.0,27,:45,4607431.5,601007,金陵饭店,6.99,6.94,6.97,6.91,-0.57,0.86
09:33:48,6.94,36088.0,27,:48,4643519.5,601007,金陵饭店,6.99,6.94,6.97,6.91,-0.72,0.86
09:33:51,6.94,0.0,0,:51,4643519.5,601007,金陵饭店,6.99,6.94,6.97,6.91,-0.72,0.86
09:33:54,6.95,201550.0,14,:54,4845069.5,601007,金陵饭店,6.99,6.94,6.97,6.91,-0.57,0.86
09:33:57,6.95,0.0,0,:57,4845069.5,601007,金陵饭店,6.99,6.94,6.97,6.91,-0.57,0.86
09:34:00,6.95,3475.0,4,:00,4848544.5,601007,金陵饭店,6.99,6.94,6.97,6.91,-0.57,0.86
09:34:03,6.95,0.0,0,:03,4848544.5,601007,金陵饭店,6.99,6.94,6.97,6.91,-0.57,0.86
09:34:06,6.95,8340.0,7,:06,4856884.5,601007,金陵饭店,6.99,6.94,6.97,6.91,-0.57,0.86
09:34:09,6.94,31230.0,13,:09,4888114.5,601007,金陵饭店,6.99,6.94,6.97,6.91,-0.72,0.86
09:34:12,6.94,1388.0,1,:12,4889502.5,601007,金陵饭店,6.99,6.94,6.97,6.91,-0.72,0.86
