时间,最新价,金额,笔数,秒,成交额,代码,名称,昨收,今开,最高,最低,涨跌幅,振幅
09:25:00,5.26,656974.0,97,:00,656974.0,002094,青岛金王,5.33,5.26,5.26,5.26,-1.31,0.0
09:30:00,5.27,755191.0,67,:00,1412165.0,002094,青岛金王,5.33,5.26,5.27,5.26,-1.13,0.19
09:30:03,5.27,954924.0,120,:03,2367089.0,002094,青岛金王,5.33,5.26,5.27,5.26,-1.13,0.19
09:30:06,5.27,226083.0,23,:06,2593172.0,002094,青岛金王,5.33,5.26,5.27,5.26,-1.13,0.19
09:30:09,5.27,211327.0,23,:09,2804499.0,002094,青岛金王,5.33,5.26,5.27,5.26,-1.13,0.19
09:30:12,5.27,100657.0,23,:12,2905156.0,002094,青岛金王,5.33,5.26,5.27,5.26,-1.13,0.19
09:30:15,5.26,398182.0,20,:15,3303338.0,002094,青岛金王,5.33,5.26,5.27,5.26,-1.31,0.19
09:30:18,5.26,90472.0,14,:18,3393810.0,002094,青岛金王,5.33,5.26,5.27,5.26,-1.31,0.19
09:30:21,5.27,32147.0,9,:21,3425957.0,002094,青岛金王,5.33,5.26,5.27,5.26,-1.13,0.19
09:30:24,5.26,47866.0,10,:24,3473823.0,002094,青岛金王,5.33,5.26,5.27,5.26,-1.31,0.19
09:30:27,5.28,191136.0,11,:27,3664959.0,002094,青岛金王,5.33,5.26,5.28,5.26,-0.94,0.38
09:30:30,5.27,286688.0,26,:30,3951647.0,002094,青岛金王,5.33,5.26,5.28,5.26,-1.13,0.38
09:30:33,5.28,214896.0,14,:33,4166543.0,002094,青岛金王,5.33,5.26,5.28,5.26,-0.94,0.38
09:30:36,5.28,129888.0,20,:36,4296431.0,002094,青岛金王,5.33,5.26,5.28,5.26,-0.94,0.38
09:30:39,5.28,111408.0,8,:39,4407839.0,002094,青岛金王,5.33,5.26,5.28,5.26,-0.94,0.38
09:30:42,5.28,37488.0,29,:42,4445327.0,002094,青岛金王,5.33,5.26,5.28,5.26,-0.94,0.38
09:30:45,5.28,293040.0,15,:45,4738367.0,002094,青岛金王,5.33,5.26,5.28,5.26,-0.94,0.38
09:30:48,5.28,175296.0,12,:48,4913663.0,002094,青岛金王,5.33,5.26,5.28,5.26,-0.94,0.38
09:30:51,5.28,187968.0,10,:51,5101631.0,002094,青岛金王,5.33,5.26,5.28,5.26,-0.94,0.38
09:30:54,5.28,159456.0,8,:54,5261087.0,002094,青岛金王,5.33,5.26,5.28,5.26,-0.94,0.38
09:30:57,5.28,456192.0,20,:57,5717279.0,002094,青岛金王,5.33,5.26,5.28,5.26,-0.94,0.38
09:31:00,5.27,120683.0,12,:00,5837962.0,002094,青岛金王,5.33,5.26,5.28,5.26,-1.13,0.38
09:31:03,5.28,105600.0,2,:03,5943562.0,002094,青岛金王,5.33,5.26,5.28,5.26,-0.94,0.38
09:31:06,5.28,88176.0,7,:06,6031738.0,002094,青岛金王,5.33,5.26,5.28,5.26,-0.94,0.38
09:31:09,5.27,198679.0,9,:09,6230417.0,002094,青岛金王,5.33,5.26,5.28,5.26,-1.13,0.38
09:31:12,5.28,34848.0,4,:12,6265265.0,002094,青岛金王,5.33,5.26,5.28,5.26,-0.94,0.38
09:31:15,5.27,86428.0,14,:15,6351693.0,002094,青岛金王,5.33,5.26,5.28,5.26,-1.13,0.38
09:31:18,5.28,249216.0,50,:18,6600909.0,002094,青岛金王,5.33,5.26,5.28,5.26,-0.94,0.38
09:31:21,5.29,185679.0,19,:21,6786588.0,002094,青岛金王,5.33,5.26,5.29,5.26,-0.75,0.56
09:31:24,5.29,220593.0,18,:24,7007181.0,002094,青岛金王,5.33,5.26,5.29,5.26,-0.75,0.56
09:31:27,5.28,138336.0,14,:27,7145517.0,002094,青岛金王,5.33,5.26,5.29,5.26,-0.94,0.56
09:31:30,5.29,179331.0,20,:30,7324848.0,002094,青岛金王,5.33,5.26,5.29,5.26,-0.75,0.56
09:31:33,5.3,43990.0,7,:33,7368838.0,002094,青岛金王,5.33,5.26,5.3,5.26,-0.56,0.75
09:31:36,5.28,223872.0,22,:36,7592710.0,002094,青岛金王,5.33,5.26,5.3,5.26,-0.94,0.75
09:31:39,5.28,122496.0,7,:39,7715206.0,002094,青岛金王,5.33,5.26,5.3,5.26,-0.94,0.75
09:31:42,5.3,160590.0,17,:42,7875796.0,002094,青岛金王,5.33,5.26,5.3,5.26,-0.56,0.75
09:31:45,5.3,0.0,0,:45,7875796.0,002094,青岛金王,5.33,5.26,5.3,5.26,-0.56,0.75
09:31:48,5.31,5310.0,3,:48,7881106.0,002094,青岛金王,5.33,5.26,5.31,5.26,-0.38,0.94
09:31:51,5.3,22260.0,7,:51,7903366.0,002094,青岛金王,5.33,5.26,5.31,5.26,-0.56,0.94
09:31:54,5.3,143100.0,14,:54,8046466.0,002094,青岛金王,5.33,5.26,5.31,5.26,-0.56,0.94
09:31:57,5.29,43907.0,8,:57,8090373.0,002094,青岛金王,5.33,5.26,5.31,5.26,-0.75,0.94
09:32:00,5.29,20631.0,4,:00,8111004.0,002094,青岛金王,5.33,5.26,5.31,5.26,-0.75,0.94
09:32:03,5.29,20631.0,16,:03,8131635.0,002094,青岛金王,5.33,5.26,5.31,5.26,-0.75,0.94
09:32:06,5.29,39675.0,18,:06,8171310.0,002094,青岛金王,5.33,5.26,5.31,5.26,-0.75,0.94
09:32:09,5.29,8464.0,5,:09,8179774.0,002094,青岛金王,5.33,5.26,5.31,5.26,-0.75,0.94
09:32:12,5.29,31740.0,6,:12,8211514.0,002094,青岛金王,5.33,5.26,5.31,5.26,-0.75,0.94
09:32:15,5.29,6877.0,2,:15,8218391.0,002094,青岛金王,5.33,5.26,5.31,5.26,-0.75,0.94
09:32:18,5.29,34385.0,8,:18,8252776.0,002094,青岛金王,5.33,5.26,5.31,5.26,-0.75,0.94
09:32:21,5.29,84111.0,14,:21,8336887.0,002094,青岛金王,5.33,5.26,5.31,5.26,-0.75,0.94
09:32:24,5.29,32798.0,10,:24,8369685.0,002094,青岛金王,5.33,5.26,5.31,5.26,-0.75,0.94
09:32:27,5.3,24380.0,11,:27,8394065.0,002094,青岛金王,5.33,5.26,5.31,5.26,-0.56,0.94
09:32:30,5.29,60306.0,7,:30,8454371.0,002094,青岛金王,5.33,5.26,5.31,5.26,-0.75,0.94
09:32:33,5.29,14283.0,4,:33,8468654.0,002094,青岛金王,5.33,5.26,5.31,5.26,-0.75,0.94
09:32:36,5.29,25921.0,5,:36,8494575.0,002094,青岛金王,5.33,5.26,5.31,5.26,-0.75,0.94
09:32:39,5.29,41791.0,6,:39,8536366.0,002094,青岛金王,5.33,5.26,5.31,5.26,-0.75,0.94
