时间,最新价,金额,笔数,秒,成交额,代码,名称,昨收,今开,最高,最低,涨跌幅,振幅
09:25:00,2.48,24056.0,6,:00,24056.0,600239,云南城投,2.48,2.48,2.48,2.48,0.0,0.0
09:30:00,2.48,230392.0,6,:00,254448.0,600239,云南城投,2.48,2.48,2.48,2.48,0.0,0.0
09:30:03,2.48,17856.0,7,:03,272304.0,600239,云南城投,2.48,2.48,2.48,2.48,0.0,0.0
09:30:06,2.48,52328.0,7,:06,324632.0,600239,云南城投,2.48,2.48,2.48,2.48,0.0,0.0
09:30:09,2.47,30875.0,10,:09,355507.0,600239,云南城投,2.48,2.48,2.48,2.47,-0.4,0.4
09:30:12,2.47,6669.0,4,:12,362176.0,600239,云南城投,2.48,2.48,2.48,2.47,-0.4,0.4
09:30:15,2.48,2480.0,1,:15,364656.0,600239,云南城投,2.48,2.48,2.48,2.47,0.0,0.4
09:30:18,2.48,73408.0,36,:18,438064.0,600239,云南城投,2.48,2.48,2.48,2.47,0.0,0.4
09:30:21,2.48,4712.0,3,:21,442776.0,600239,云南城投,2.48,2.48,2.48,2.47,0.0,0.4
09:30:24,2.48,201376.0,8,:24,644152.0,600239,云南城投,2.48,2.48,2.48,2.47,0.0,0.4
09:30:27,2.48,53568.0,16,:27,697720.0,600239,云南城投,2.48,2.48,2.48,2.47,0.0,0.4
09:30:30,2.48,15872.0,25,:30,713592.0,600239,云南城投,2.48,2.48,2.48,2.47,0.0,0.4
09:30:33,2.48,64480.0,17,:33,778072.0,600239,云南城投,2.48,2.48,2.48,2.47,0.0,0.4
09:30:36,2.48,0.0,0,:36,778072.0,600239,云南城投,2.48,2.48,2.48,2.47,0.0,0.4
09:30:39,2.48,1488.0,2,:39,779560.0,600239,云南城投,2.48,2.48,2.48,2.47,0.0,0.4
09:30:42,2.48,2480.0,3,:42,782040.0,600239,云南城投,2.48,2.48,2.48,2.47,0.0,0.4
09:30:45,2.48,98952.0,14,:45,880992.0,600239,云南城投,2.48,2.48,2.48,2.47,0.0,0.4
09:30:48,2.48,0.0,0,:48,880992.0,600239,云南城投,2.48,2.48,2.48,2.47,0.0,0.4
09:30:51,2.48,20832.0,2,:51,901824.0,600239,云南城投,2.48,2.48,2.48,2.47,0.0,0.4
09:30:54,2.48,224936.0,28,:54,1126760.0,600239,云南城投,2.48,2.48,2.48,2.47,0.0,0.4
09:30:57,2.48,0.0,0,:57,1126760.0,600239,云南城投,2.48,2.48,2.48,2.47,0.0,0.4
09:31:00,2.48,1240.0,1,:00,1128000.0,600239,云南城投,2.48,2.48,2.48,2.47,0.0,0.4
09:31:03,2.48,5952.0,2,:03,1133952.0,600239,云南城投,2.48,2.48,2.48,2.47,0.0,0.4
09:31:06,2.48,0.0,0,:06,1133952.0,600239,云南城投,2.48,2.48,2.48,2.47,0.0,0.4
09:31:09,2.48,0.0,0,:09,1133952.0,600239,云南城投,2.48,2.48,2.48,2.47,0.0,0.4
