时间,最新价,金额,笔数,成交额,代码,名称,昨收,今开,最高,最低,涨跌幅,振幅
09:15,8.5,5950.0,0.0,5950.0,300534,龙神龙发,8.49,8.47,8.5,8.5,0.12,0.0
09:16,8.41,113535.0,0.0,119485.0,300534,龙神龙发,8.49,8.47,8.5,8.41,-0.94,1.06
09:17,8.41,185861.0,0.0,305346.0,300534,龙神龙发,8.49,8.47,8.5,8.41,-0.94,1.06
09:17,8.41,113535.0,0.0,418881.0,300534,龙神龙发,8.49,8.47,8.5,8.41,-0.94,1.06
09:18,8.41,113535.0,0.0,532416.0,300534,龙神龙发,8.49,8.47,8.5,8.41,-0.94,1.06
09:18,8.41,113535.0,0.0,645951.0,300534,龙神龙发,8.49,8.47,8.5,8.41,-0.94,1.06
09:19,8.41,113535.0,0.0,759486.0,300534,龙神龙发,8.49,8.47,8.5,8.41,-0.94,1.06
09:19,8.5,6800.0,0.0,766286.0,300534,龙神龙发,8.49,8.47,8.5,8.41,0.12,1.06
09:20,8.5,15300.0,0.0,781586.0,300534,龙神龙发,8.49,8.47,8.5,8.41,0.12,1.06
09:21,8.5,20400.0,0.0,801986.0,300534,龙神龙发,8.49,8.47,8.5,8.41,0.12,1.06
09:22,8.5,25500.0,0.0,827486.0,300534,龙神龙发,8.49,8.47,8.5,8.41,0.12,1.06
09:22,8.5,34000.0,0.0,861486.0,300534,龙神龙发,8.49,8.47,8.5,8.41,0.12,1.06
09:22,8.5,34000.0,0.0,895486.0,300534,龙神龙发,8.49,8.47,8.5,8.41,0.12,1.06
09:23,8.5,36550.0,0.0,932036.0,300534,龙神龙发,8.49,8.47,8.5,8.41,0.12,1.06
09:23,8.5,36550.0,0.0,968586.0,300534,龙神龙发,8.49,8.47,8.5,8.41,0.12,1.06
09:23,8.49,38205.0,0.0,1006791.0,300534,龙神龙发,8.49,8.47,8.5,8.41,0.0,1.06
09:23,8.49,39054.0,0.0,1045845.0,300534,龙神龙发,8.49,8.47,8.5,8.41,0.0,1.06
09:23,8.49,42450.0,0.0,1088295.0,300534,龙神龙发,8.49,8.47,8.5,8.41,0.0,1.06
09:23,8.49,46695.0,0.0,1134990.0,300534,龙神龙发,8.49,8.47,8.5,8.41,0.0,1.06
