时间,最新价,金额,笔数,成交额,代码,名称,昨收,今开,最高,最低,涨跌幅,振幅
09:15,9.62,962,0,962,600097,开创国际,8.49,9.68,9.62,9.62,13.31,0.0
09:15,9.7,970,0,1932,600097,开创国际,8.49,9.68,9.7,9.62,14.25,0.94
09:15,9.68,5808,0,7740,600097,开创国际,8.49,9.68,9.7,9.62,14.02,0.94
09:15,9.68,5808,0,13548,600097,开创国际,8.49,9.68,9.7,9.62,14.02,0.94
09:15,10.39,1948125,0,1961673,600097,开创国际,8.49,9.68,10.39,9.62,22.38,9.07
09:16,10.39,1948125,0,3909798,600097,开创国际,8.49,9.68,10.39,9.62,22.38,9.07
09:16,10.39,1948125,0,5857923,600097,开创国际,8.49,9.68,10.39,9.62,22.38,9.07
09:16,9.96,1867500,0,7725423,600097,开创国际,8.49,9.68,10.39,9.62,17.31,9.07
09:16,9.93,1861875,0,9587298,600097,开创国际,8.49,9.68,10.39,9.62,16.96,9.07
09:16,10.38,1946250,0,11533548,600097,开创国际,8.49,9.68,10.39,9.62,22.26,9.07
09:16,10.38,1946250,0,13479798,600097,开创国际,8.49,9.68,10.39,9.62,22.26,9.07
09:17,10.38,1946250,0,15426048,600097,开创国际,8.49,9.68,10.39,9.62,22.26,9.07
09:17,10.38,1946250,0,17372298,600097,开创国际,8.49,9.68,10.39,9.62,22.26,9.07
09:17,10.37,1944375,0,19316673,600097,开创国际,8.49,9.68,10.39,9.62,22.14,9.07
09:17,10.37,1944375,0,21261048,600097,开创国际,8.49,9.68,10.39,9.62,22.14,9.07
09:17,10.38,1946250,0,23207298,600097,开创国际,8.49,9.68,10.39,9.62,22.26,9.07
09:17,10.37,1944375,0,25151673,600097,开创国际,8.49,9.68,10.39,9.62,22.14,9.07
09:17,9.6,22080,0,25173753,600097,开创国际,8.49,9.68,10.39,9.6,13.07,9.31
09:18,9.6,22080,0,25195833,600097,开创国际,8.49,9.68,10.39,9.6,13.07,9.31
09:18,9.6,22080,0,25217913,600097,开创国际,8.49,9.68,10.39,9.6,13.07,9.31
09:18,9.6,22080,0,25239993,600097,开创国际,8.49,9.68,10.39,9.6,13.07,9.31
09:19,9.6,22080,0,25262073,600097,开创国际,8.49,9.68,10.39,9.6,13.07,9.31
09:19,9.6,22080,0,25284153,600097,开创国际,8.49,9.68,10.39,9.6,13.07,9.31
09:19,9.6,22080,0,25306233,600097,开创国际,8.49,9.68,10.39,9.6,13.07,9.31
09:20,9.6,22080,0,25328313,600097,开创国际,8.49,9.68,10.39,9.6,13.07,9.31
09:20,9.6,22080,0,25350393,600097,开创国际,8.49,9.68,10.39,9.6,13.07,9.31
09:21,9.6,22080,0,25372473,600097,开创国际,8.49,9.68,10.39,9.6,13.07,9.31
09:21,9.6,22080,0,25394553,600097,开创国际,8.49,9.68,10.39,9.6,13.07,9.31
09:22,9.6,22080,0,25416633,600097,开创国际,8.49,9.68,10.39,9.6,13.07,9.31
09:22,9.6,22080,0,25438713,600097,开创国际,8.49,9.68,10.39,9.6,13.07,9.31
09:23,9.6,22080,0,25460793,600097,开创国际,8.49,9.68,10.39,9.6,13.07,9.31
09:23,9.6,22080,0,25482873,600097,开创国际,8.49,9.68,10.39,9.6,13.07,9.31
09:23,9.61,22103,0,25504976,600097,开创国际,8.49,9.68,10.39,9.6,13.19,9.31
09:23,9.62,22126,0,25527102,600097,开创国际,8.49,9.68,10.39,9.6,13.31,9.31
09:24,9.62,22126,0,25549228,600097,开创国际,8.49,9.68,10.39,9.6,13.31,9.31
09:24,9.68,112288,0,25661516,600097,开创国际,8.49,9.68,10.39,9.6,14.02,9.31
09:25,9.68,112288,5,25773804,600097,开创国际,8.49,9.68,10.39,9.6,14.02,9.31
09:30,9.68,85184,9,25858988,600097,开创国际,8.49,9.68,10.39,9.6,14.02,9.31
09:30,9.69,42636,11,25901624,600097,开创国际,8.49,9.68,10.39,9.6,14.13,9.31
09:30,9.71,76709,10,25978333,600097,开创国际,8.49,9.68,10.39,9.6,14.37,9.31
09:30,9.71,5826,6,25984159,600097,开创国际,8.49,9.68,10.39,9.6,14.37,9.31
09:30,9.71,33014,5,26017173,600097,开创国际,8.49,9.68,10.39,9.6,14.37,9.31
09:30,9.72,5832,4,26023005,600097,开创国际,8.49,9.68,10.39,9.6,14.49,9.31
09:30,9.72,3888,4,26026893,600097,开创国际,8.49,9.68,10.39,9.6,14.49,9.31
09:30,9.71,15536,7,26042429,600097,开创国际,8.49,9.68,10.39,9.6,14.37,9.31
09:30,9.73,2919,3,26045348,600097,开创国际,8.49,9.68,10.39,9.6,14.61,9.31
09:30,9.73,13622,12,26058970,600097,开创国际,8.49,9.68,10.39,9.6,14.61,9.31
09:30,9.72,20412,14,26079382,600097,开创国际,8.49,9.68,10.39,9.6,14.49,9.31
09:30,9.73,42812,7,26122194,600097,开创国际,8.49,9.68,10.39,9.6,14.61,9.31
09:30,9.71,20391,11,26142585,600097,开创国际,8.49,9.68,10.39,9.6,14.37,9.31
09:30,9.7,21340,12,26163925,600097,开创国际,8.49,9.68,10.39,9.6,14.25,9.31
09:30,9.7,8730,2,26172655,600097,开创国际,8.49,9.68,10.39,9.6,14.25,9.31
09:30,9.74,393496,35,26566151,600097,开创国际,8.49,9.68,10.39,9.6,14.72,9.31
09:30,9.74,582452,22,27148603,600097,开创国际,8.49,9.68,10.39,9.6,14.72,9.31
09:30,9.72,1944,2,27150547,600097,开创国际,8.49,9.68,10.39,9.6,14.49,9.31
09:30,9.73,973,1,27151520,600097,开创国际,8.49,9.68,10.39,9.6,14.61,9.31
09:31,9.73,0,0,27151520,600097,开创国际,8.49,9.68,10.39,9.6,14.61,9.31
09:31,9.74,5844,2,27157364,600097,开创国际,8.49,9.68,10.39,9.6,14.72,9.31
09:31,9.72,1944,2,27159308,600097,开创国际,8.49,9.68,10.39,9.6,14.49,9.31
09:31,9.72,19440,4,27178748,600097,开创国际,8.49,9.68,10.39,9.6,14.49,9.31
09:31,9.72,0,0,27178748,600097,开创国际,8.49,9.68,10.39,9.6,14.49,9.31
09:31,9.71,3884,3,27182632,600097,开创国际,8.49,9.68,10.39,9.6,14.37,9.31
09:31,9.71,0,0,27182632,600097,开创国际,8.49,9.68,10.39,9.6,14.37,9.31
09:31,9.72,2916,2,27185548,600097,开创国际,8.49,9.68,10.39,9.6,14.49,9.31
09:31,9.72,263412,29,27448960,600097,开创国际,8.49,9.68,10.39,9.6,14.49,9.31
09:31,9.71,11652,4,27460612,600097,开创国际,8.49,9.68,10.39,9.6,14.37,9.31
09:31,9.71,0,0,27460612,600097,开创国际,8.49,9.68,10.39,9.6,14.37,9.31
09:31,9.71,5826,2,27466438,600097,开创国际,8.49,9.68,10.39,9.6,14.37,9.31
09:31,9.7,56260,15,27522698,600097,开创国际,8.49,9.68,10.39,9.6,14.25,9.31
09:31,9.71,13594,5,27536292,600097,开创国际,8.49,9.68,10.39,9.6,14.37,9.31
09:31,9.71,2913,3,27539205,600097,开创国际,8.49,9.68,10.39,9.6,14.37,9.31
09:31,9.7,7760,5,27546965,600097,开创国际,8.49,9.68,10.39,9.6,14.25,9.31
09:31,9.7,970,1,27547935,600097,开创国际,8.49,9.68,10.39,9.6,14.25,9.31
09:31,9.7,0,0,27547935,600097,开创国际,8.49,9.68,10.39,9.6,14.25,9.31
09:31,9.7,0,0,27547935,600097,开创国际,8.49,9.68,10.39,9.6,14.25,9.31
09:31,9.71,26217,2,27574152,600097,开创国际,8.49,9.68,10.39,9.6,14.37,9.31
09:32,9.71,0,0,27574152,600097,开创国际,8.49,9.68,10.39,9.6,14.37,9.31
09:32,9.69,9690,7,27583842,600097,开创国际,8.49,9.68,10.39,9.6,14.13,9.31
09:32,9.69,0,0,27583842,600097,开创国际,8.49,9.68,10.39,9.6,14.13,9.31
09:32,9.69,0,0,27583842,600097,开创国际,8.49,9.68,10.39,9.6,14.13,9.31
09:32,9.69,0,0,27583842,600097,开创国际,8.49,9.68,10.39,9.6,14.13,9.31
09:32,9.7,970,1,27584812,600097,开创国际,8.49,9.68,10.39,9.6,14.25,9.31
09:32,9.71,971,1,27585783,600097,开创国际,8.49,9.68,10.39,9.6,14.37,9.31
09:32,9.72,101088,16,27686871,600097,开创国际,8.49,9.68,10.39,9.6,14.49,9.31
09:32,9.72,0,0,27686871,600097,开创国际,8.49,9.68,10.39,9.6,14.49,9.31
09:32,9.7,44620,1,27731491,600097,开创国际,8.49,9.68,10.39,9.6,14.25,9.31
09:32,9.7,504400,22,28235891,600097,开创国际,8.49,9.68,10.39,9.6,14.25,9.31
09:32,9.7,263840,74,28499731,600097,开创国际,8.49,9.68,10.39,9.6,14.25,9.31
09:32,9.7,35890,6,28535621,600097,开创国际,8.49,9.68,10.39,9.6,14.25,9.31
09:32,9.7,60140,5,28595761,600097,开创国际,8.49,9.68,10.39,9.6,14.25,9.31
09:32,9.7,70810,6,28666571,600097,开创国际,8.49,9.68,10.39,9.6,14.25,9.31
09:32,9.7,0,0,28666571,600097,开创国际,8.49,9.68,10.39,9.6,14.25,9.31
09:32,9.72,1944,1,28668515,600097,开创国际,8.49,9.68,10.39,9.6,14.49,9.31
09:32,9.71,83506,11,28752021,600097,开创国际,8.49,9.68,10.39,9.6,14.37,9.31
09:33,9.72,5832,4,28757853,600097,开创国际,8.49,9.68,10.39,9.6,14.49,9.31
09:33,9.72,25272,3,28783125,600097,开创国际,8.49,9.68,10.39,9.6,14.49,9.31
09:33,9.73,15568,8,28798693,600097,开创国际,8.49,9.68,10.39,9.6,14.61,9.31
09:33,9.72,972,1,28799665,600097,开创国际,8.49,9.68,10.39,9.6,14.49,9.31
09:33,9.72,0,0,28799665,600097,开创国际,8.49,9.68,10.39,9.6,14.49,9.31
09:33,9.72,0,0,28799665,600097,开创国际,8.49,9.68,10.39,9.6,14.49,9.31
09:33,9.72,4860,5,28804525,600097,开创国际,8.49,9.68,10.39,9.6,14.49,9.31
09:33,9.72,12636,2,28817161,600097,开创国际,8.49,9.68,10.39,9.6,14.49,9.31
09:33,9.72,1944,1,28819105,600097,开创国际,8.49,9.68,10.39,9.6,14.49,9.31
09:33,9.72,7776,1,28826881,600097,开创国际,8.49,9.68,10.39,9.6,14.49,9.31
09:33,9.72,0,0,28826881,600097,开创国际,8.49,9.68,10.39,9.6,14.49,9.31
09:33,9.72,98172,4,28925053,600097,开创国际,8.49,9.68,10.39,9.6,14.49,9.31
09:33,9.72,0,0,28925053,600097,开创国际,8.49,9.68,10.39,9.6,14.49,9.31
09:33,9.72,7776,2,28932829,600097,开创国际,8.49,9.68,10.39,9.6,14.49,9.31
09:33,9.72,13608,5,28946437,600097,开创国际,8.49,9.68,10.39,9.6,14.49,9.31
09:33,9.72,972,1,28947409,600097,开创国际,8.49,9.68,10.39,9.6,14.49,9.31
09:33,9.72,0,0,28947409,600097,开创国际,8.49,9.68,10.39,9.6,14.49,9.31
09:33,9.72,972,1,28948381,600097,开创国际,8.49,9.68,10.39,9.6,14.49,9.31
09:34,9.72,11664,1,28960045,600097,开创国际,8.49,9.68,10.39,9.6,14.49,9.31
09:34,9.73,13622,3,28973667,600097,开创国际,8.49,9.68,10.39,9.6,14.61,9.31
09:34,9.73,0,0,28973667,600097,开创国际,8.49,9.68,10.39,9.6,14.61,9.31
09:34,9.73,3892,3,28977559,600097,开创国际,8.49,9.68,10.39,9.6,14.61,9.31
09:34,9.73,1946,1,28979505,600097,开创国际,8.49,9.68,10.39,9.6,14.61,9.31
09:34,9.73,10703,1,28990208,600097,开创国际,8.49,9.68,10.39,9.6,14.61,9.31
09:34,9.73,19460,5,29009668,600097,开创国际,8.49,9.68,10.39,9.6,14.61,9.31
09:34,9.73,1946,2,29011614,600097,开创国际,8.49,9.68,10.39,9.6,14.61,9.31
09:34,9.73,0,0,29011614,600097,开创国际,8.49,9.68,10.39,9.6,14.61,9.31
09:34,9.73,48650,2,29060264,600097,开创国际,8.49,9.68,10.39,9.6,14.61,9.31
09:34,9.73,19460,3,29079724,600097,开创国际,8.49,9.68,10.39,9.6,14.61,9.31
09:34,9.73,0,0,29079724,600097,开创国际,8.49,9.68,10.39,9.6,14.61,9.31
09:34,9.73,33082,3,29112806,600097,开创国际,8.49,9.68,10.39,9.6,14.61,9.31
09:34,9.73,36001,1,29148807,600097,开创国际,8.49,9.68,10.39,9.6,14.61,9.31
09:34,9.73,0,0,29148807,600097,开创国际,8.49,9.68,10.39,9.6,14.61,9.31
09:34,9.73,66164,6,29214971,600097,开创国际,8.49,9.68,10.39,9.6,14.61,9.31
09:34,9.73,2919,2,29217890,600097,开创国际,8.49,9.68,10.39,9.6,14.61,9.31
09:34,9.73,973,1,29218863,600097,开创国际,8.49,9.68,10.39,9.6,14.61,9.31
09:35,9.74,13636,3,29232499,600097,开创国际,8.49,9.68,10.39,9.6,14.72,9.31
09:35,9.73,52542,5,29285041,600097,开创国际,8.49,9.68,10.39,9.6,14.61,9.31
09:35,9.74,48700,2,29333741,600097,开创国际,8.49,9.68,10.39,9.6,14.72,9.31
09:35,9.73,973,1,29334714,600097,开创国际,8.49,9.68,10.39,9.6,14.61,9.31
09:35,9.73,0,0,29334714,600097,开创国际,8.49,9.68,10.39,9.6,14.61,9.31
09:35,9.73,4865,2,29339579,600097,开创国际,8.49,9.68,10.39,9.6,14.61,9.31
09:35,9.73,0,0,29339579,600097,开创国际,8.49,9.68,10.39,9.6,14.61,9.31
09:35,9.72,6804,4,29346383,600097,开创国际,8.49,9.68,10.39,9.6,14.49,9.31
09:35,9.74,12662,1,29359045,600097,开创国际,8.49,9.68,10.39,9.6,14.72,9.31
09:35,9.73,12649,2,29371694,600097,开创国际,8.49,9.68,10.39,9.6,14.61,9.31
09:35,9.73,3892,3,29375586,600097,开创国际,8.49,9.68,10.39,9.6,14.61,9.31
09:35,9.73,0,0,29375586,600097,开创国际,8.49,9.68,10.39,9.6,14.61,9.31
09:35,9.73,0,0,29375586,600097,开创国际,8.49,9.68,10.39,9.6,14.61,9.31
09:35,9.73,973,1,29376559,600097,开创国际,8.49,9.68,10.39,9.6,14.61,9.31
09:35,9.73,973,1,29377532,600097,开创国际,8.49,9.68,10.39,9.6,14.61,9.31
09:35,9.74,29220,1,29406752,600097,开创国际,8.49,9.68,10.39,9.6,14.72,9.31
09:35,9.73,973,1,29407725,600097,开创国际,8.49,9.68,10.39,9.6,14.61,9.31
09:35,9.73,4865,1,29412590,600097,开创国际,8.49,9.68,10.39,9.6,14.61,9.31
09:36,9.73,0,0,29412590,600097,开创国际,8.49,9.68,10.39,9.6,14.61,9.31
09:36,9.73,0,0,29412590,600097,开创国际,8.49,9.68,10.39,9.6,14.61,9.31
09:36,9.73,973,1,29413563,600097,开创国际,8.49,9.68,10.39,9.6,14.61,9.31
09:36,9.73,10703,2,29424266,600097,开创国际,8.49,9.68,10.39,9.6,14.61,9.31
09:36,9.73,2919,1,29427185,600097,开创国际,8.49,9.68,10.39,9.6,14.61,9.31
09:36,9.73,7784,1,29434969,600097,开创国际,8.49,9.68,10.39,9.6,14.61,9.31
09:36,9.74,85712,34,29520681,600097,开创国际,8.49,9.68,10.39,9.6,14.72,9.31
09:36,9.74,0,0,29520681,600097,开创国际,8.49,9.68,10.39,9.6,14.72,9.31
09:36,9.74,59414,9,29580095,600097,开创国际,8.49,9.68,10.39,9.6,14.72,9.31
09:36,9.74,974,1,29581069,600097,开创国际,8.49,9.68,10.39,9.6,14.72,9.31
09:36,9.74,974,1,29582043,600097,开创国际,8.49,9.68,10.39,9.6,14.72,9.31
09:36,9.74,0,0,29582043,600097,开创国际,8.49,9.68,10.39,9.6,14.72,9.31
09:36,9.74,0,0,29582043,600097,开创国际,8.49,9.68,10.39,9.6,14.72,9.31
09:36,9.74,45778,4,29627821,600097,开创国际,8.49,9.68,10.39,9.6,14.72,9.31
09:36,9.75,13650,3,29641471,600097,开创国际,8.49,9.68,10.39,9.6,14.84,9.31
09:36,9.75,0,0,29641471,600097,开创国际,8.49,9.68,10.39,9.6,14.84,9.31
09:36,9.75,0,0,29641471,600097,开创国际,8.49,9.68,10.39,9.6,14.84,9.31
