时间,最新价,金额,笔数,秒,成交额,代码,名称,昨收,今开,最高,最低,涨跌幅,振幅
09:25:00,15.34,11462048.0,490,:00,11462048.0,603353,和顺石油,15.8,15.34,15.34,15.34,-2.91,0.0
09:30:00,15.37,379639.0,9,:00,11841687.0,603353,和顺石油,15.8,15.34,15.37,15.34,-2.72,0.19
09:30:03,15.5,819950.0,42,:03,12661637.0,603353,和顺石油,15.8,15.34,15.5,15.34,-1.9,1.01
09:30:06,15.48,1264716.0,97,:06,13926353.0,603353,和顺石油,15.8,15.34,15.5,15.34,-2.03,1.01
09:30:09,15.5,1923550.0,69,:09,15849903.0,603353,和顺石油,15.8,15.34,15.5,15.34,-1.9,1.01
09:30:12,15.5,906750.0,68,:12,16756653.0,603353,和顺石油,15.8,15.34,15.5,15.34,-1.9,1.01
09:30:15,15.48,764712.0,64,:15,17521365.0,603353,和顺石油,15.8,15.34,15.5,15.34,-2.03,1.01
09:30:18,15.52,1111232.0,89,:18,18632597.0,603353,和顺石油,15.8,15.34,15.52,15.34,-1.77,1.14
09:30:21,15.6,1932840.0,79,:21,20565437.0,603353,和顺石油,15.8,15.34,15.6,15.34,-1.27,1.65
09:30:24,15.51,1340064.0,120,:24,21905501.0,603353,和顺石油,15.8,15.34,15.6,15.34,-1.84,1.65
09:30:27,15.67,351008.0,27,:27,22256509.0,603353,和顺石油,15.8,15.34,15.67,15.34,-0.82,2.09
09:30:30,15.69,411078.0,55,:30,22667587.0,603353,和顺石油,15.8,15.34,15.69,15.34,-0.7,2.22
09:30:33,15.67,839912.0,86,:33,23507499.0,603353,和顺石油,15.8,15.34,15.69,15.34,-0.82,2.22
09:30:36,15.61,807037.0,28,:36,24314536.0,603353,和顺石油,15.8,15.34,15.69,15.34,-1.2,2.22
09:30:39,15.46,510180.0,37,:39,24824716.0,603353,和顺石油,15.8,15.34,15.69,15.34,-2.15,2.22
09:30:42,15.42,791046.0,64,:42,25615762.0,603353,和顺石油,15.8,15.34,15.69,15.34,-2.41,2.22
09:30:45,15.46,575112.0,43,:45,26190874.0,603353,和顺石油,15.8,15.34,15.69,15.34,-2.15,2.22
09:30:48,15.48,349848.0,18,:48,26540722.0,603353,和顺石油,15.8,15.34,15.69,15.34,-2.03,2.22
09:30:51,15.48,171828.0,21,:51,26712550.0,603353,和顺石油,15.8,15.34,15.69,15.34,-2.03,2.22
09:30:54,15.51,473055.0,62,:54,27185605.0,603353,和顺石油,15.8,15.34,15.69,15.34,-1.84,2.22
09:30:57,15.5,404550.0,58,:57,27590155.0,603353,和顺石油,15.8,15.34,15.69,15.34,-1.9,2.22
09:31:00,15.57,850122.0,43,:00,28440277.0,603353,和顺石油,15.8,15.34,15.69,15.34,-1.46,2.22
09:31:03,15.62,1454222.0,98,:03,29894499.0,603353,和顺石油,15.8,15.34,15.69,15.34,-1.14,2.22
09:31:06,15.7,1080160.0,98,:06,30974659.0,603353,和顺石油,15.8,15.34,15.7,15.34,-0.63,2.28
09:31:09,15.74,225082.0,34,:09,31199741.0,603353,和顺石油,15.8,15.34,15.74,15.34,-0.38,2.53
09:31:12,15.7,138160.0,26,:12,31337901.0,603353,和顺石油,15.8,15.34,15.74,15.34,-0.63,2.53
09:31:15,15.7,124030.0,18,:15,31461931.0,603353,和顺石油,15.8,15.34,15.74,15.34,-0.63,2.53
09:31:18,15.75,155925.0,17,:18,31617856.0,603353,和顺石油,15.8,15.34,15.75,15.34,-0.32,2.59
09:31:21,15.78,148332.0,22,:21,31766188.0,603353,和顺石油,15.8,15.34,15.78,15.34,-0.13,2.78
09:31:24,15.79,205270.0,28,:24,31971458.0,603353,和顺石油,15.8,15.34,15.79,15.34,-0.06,2.85
09:31:27,15.75,557550.0,119,:27,32529008.0,603353,和顺石油,15.8,15.34,15.79,15.34,-0.32,2.85
09:31:30,15.69,364008.0,26,:30,32893016.0,603353,和顺石油,15.8,15.34,15.79,15.34,-0.7,2.85
09:31:33,15.69,229074.0,31,:33,33122090.0,603353,和顺石油,15.8,15.34,15.79,15.34,-0.7,2.85
09:31:36,15.7,276320.0,27,:36,33398410.0,603353,和顺石油,15.8,15.34,15.79,15.34,-0.63,2.85
09:31:39,15.68,94080.0,17,:39,33492490.0,603353,和顺石油,15.8,15.34,15.79,15.34,-0.76,2.85
09:31:42,15.6,196560.0,17,:42,33689050.0,603353,和顺石油,15.8,15.34,15.79,15.34,-1.27,2.85
09:31:45,15.68,333984.0,22,:45,34023034.0,603353,和顺石油,15.8,15.34,15.79,15.34,-0.76,2.85
09:31:48,15.67,336905.0,17,:48,34359939.0,603353,和顺石油,15.8,15.34,15.79,15.34,-0.82,2.85
09:31:51,15.7,628000.0,38,:51,34987939.0,603353,和顺石油,15.8,15.34,15.79,15.34,-0.63,2.85
09:31:54,15.78,200406.0,28,:54,35188345.0,603353,和顺石油,15.8,15.34,15.79,15.34,-0.13,2.85
09:31:57,15.78,77322.0,12,:57,35265667.0,603353,和顺石油,15.8,15.34,15.79,15.34,-0.13,2.85
09:32:00,15.78,15780.0,3,:00,35281447.0,603353,和顺石油,15.8,15.34,15.79,15.34,-0.13,2.85
09:32:03,15.75,173250.0,21,:03,35454697.0,603353,和顺石油,15.8,15.34,15.79,15.34,-0.32,2.85
09:32:06,15.69,305955.0,12,:06,35760652.0,603353,和顺石油,15.8,15.34,15.79,15.34,-0.7,2.85
09:32:09,15.65,140850.0,23,:09,35901502.0,603353,和顺石油,15.8,15.34,15.79,15.34,-0.95,2.85
09:32:12,15.64,361284.0,39,:12,36262786.0,603353,和顺石油,15.8,15.34,15.79,15.34,-1.01,2.85
09:32:15,15.59,93540.0,22,:15,36356326.0,603353,和顺石油,15.8,15.34,15.79,15.34,-1.33,2.85
09:32:18,15.6,219960.0,15,:18,36576286.0,603353,和顺石油,15.8,15.34,15.79,15.34,-1.27,2.85
09:32:21,15.61,84294.0,17,:21,36660580.0,603353,和顺石油,15.8,15.34,15.79,15.34,-1.2,2.85
09:32:24,15.61,199808.0,32,:24,36860388.0,603353,和顺石油,15.8,15.34,15.79,15.34,-1.2,2.85
09:32:27,15.65,954650.0,40,:27,37815038.0,603353,和顺石油,15.8,15.34,15.79,15.34,-0.95,2.85
09:32:30,15.64,187680.0,18,:30,38002718.0,603353,和顺石油,15.8,15.34,15.79,15.34,-1.01,2.85
09:32:33,15.63,264147.0,13,:33,38266865.0,603353,和顺石油,15.8,15.34,15.79,15.34,-1.08,2.85
09:32:36,15.64,117300.0,16,:36,38384165.0,603353,和顺石油,15.8,15.34,15.79,15.34,-1.01,2.85
09:32:39,15.63,21882.0,7,:39,38406047.0,603353,和顺石油,15.8,15.34,15.79,15.34,-1.08,2.85
09:32:42,15.63,206316.0,16,:42,38612363.0,603353,和顺石油,15.8,15.34,15.79,15.34,-1.08,2.85
09:32:45,15.65,90770.0,7,:45,38703133.0,603353,和顺石油,15.8,15.34,15.79,15.34,-0.95,2.85
