时间,最新价,金额,笔数,秒,成交额,代码,名称,昨收,今开,最高,最低,涨跌幅,振幅
09:25:00,26.3,7395560.0,363,:00,7395560.0,603690,至纯科技,25.82,,26.3,26.3,1.86,0.0
09:30:00,26.35,706180.0,34,:00,8101740.0,603690,至纯科技,25.82,,26.35,26.3,2.05,0.19
09:30:03,26.35,1467695.0,99,:03,9569435.0,603690,至纯科技,25.82,,26.35,26.3,2.05,0.19
09:30:06,26.34,2441718.0,110,:06,12011153.0,603690,至纯科技,25.82,,26.35,26.3,2.01,0.19
09:30:09,26.36,748624.0,62,:09,12759777.0,603690,至纯科技,25.82,,26.36,26.3,2.09,0.23
09:30:12,26.41,1671753.0,155,:12,14431530.0,603690,至纯科技,25.82,,26.41,26.3,2.29,0.43
09:30:15,26.39,1113658.0,121,:15,15545188.0,603690,至纯科技,25.82,,26.41,26.3,2.21,0.43
09:30:18,26.41,1682845.2,131,:18,17228033.2,603690,至纯科技,25.82,,26.41,26.3,2.29,0.43
09:30:21,26.4,2265120.0,128,:21,19493153.2,603690,至纯科技,25.82,,26.41,26.3,2.25,0.43
09:30:24,26.4,2874960.0,136,:24,22368113.2,603690,至纯科技,25.82,,26.41,26.3,2.25,0.43
09:30:27,26.39,1440894.0,87,:27,23809007.2,603690,至纯科技,25.82,,26.41,26.3,2.21,0.43
09:30:30,26.41,995657.0,78,:30,24804664.2,603690,至纯科技,25.82,,26.41,26.3,2.29,0.43
09:30:33,26.4,1713360.0,74,:33,26518024.2,603690,至纯科技,25.82,,26.41,26.3,2.25,0.43
09:30:36,26.4,604560.0,50,:36,27122584.2,603690,至纯科技,25.82,,26.41,26.3,2.25,0.43
09:30:39,26.37,709353.0,46,:39,27831937.2,603690,至纯科技,25.82,,26.41,26.3,2.13,0.43
09:30:42,26.37,4142727.0,138,:42,31974664.2,603690,至纯科技,25.82,,26.41,26.3,2.13,0.43
09:30:45,26.36,622096.0,40,:45,32596760.2,603690,至纯科技,25.82,,26.41,26.3,2.09,0.43
09:30:48,26.39,799617.0,57,:48,33396377.2,603690,至纯科技,25.82,,26.41,26.3,2.21,0.43
09:30:51,26.39,480298.0,73,:51,33876675.2,603690,至纯科技,25.82,,26.41,26.3,2.21,0.43
09:30:54,26.37,656613.0,40,:54,34533288.2,603690,至纯科技,25.82,,26.41,26.3,2.13,0.43
09:30:57,26.38,403614.0,31,:57,34936902.2,603690,至纯科技,25.82,,26.41,26.3,2.17,0.43
09:31:00,26.38,648948.0,51,:00,35585850.2,603690,至纯科技,25.82,,26.41,26.3,2.17,0.43
09:31:03,26.32,1218616.0,59,:03,36804466.2,603690,至纯科技,25.82,,26.41,26.3,1.94,0.43
09:31:06,26.31,1297083.0,55,:06,38101549.2,603690,至纯科技,25.82,,26.41,26.3,1.9,0.43
09:31:09,26.3,1070410.0,64,:09,39171959.2,603690,至纯科技,25.82,,26.41,26.3,1.86,0.43
09:31:12,26.29,4261609.0,284,:12,43433568.2,603690,至纯科技,25.82,,26.41,26.29,1.82,0.46
09:31:15,26.28,346896.0,39,:15,43780464.2,603690,至纯科技,25.82,,26.41,26.28,1.78,0.5
09:31:18,26.28,2846124.0,74,:18,46626588.2,603690,至纯科技,25.82,,26.41,26.28,1.78,0.5
09:31:21,26.28,1857996.0,99,:21,48484584.2,603690,至纯科技,25.82,,26.41,26.28,1.78,0.5
09:31:24,26.27,1281976.0,86,:24,49766560.2,603690,至纯科技,25.82,,26.41,26.27,1.74,0.54
09:31:27,26.27,816997.0,66,:27,50583557.2,603690,至纯科技,25.82,,26.41,26.27,1.74,0.54
09:31:30,26.21,191333.0,21,:30,50774890.2,603690,至纯科技,25.82,,26.41,26.21,1.51,0.77
09:31:33,26.21,825615.0,28,:33,51600505.2,603690,至纯科技,25.82,,26.41,26.21,1.51,0.77
09:31:36,26.17,340210.0,12,:36,51940715.2,603690,至纯科技,25.82,,26.41,26.17,1.36,0.93
09:31:39,26.16,538896.0,31,:39,52479611.2,603690,至纯科技,25.82,,26.41,26.16,1.32,0.97
09:31:42,26.16,1415256.0,72,:42,53894867.2,603690,至纯科技,25.82,,26.41,26.16,1.32,0.97
09:31:45,26.25,1021125.0,76,:45,54915992.2,603690,至纯科技,25.82,,26.41,26.16,1.67,0.97
09:31:48,26.21,398392.0,83,:48,55314384.2,603690,至纯科技,25.82,,26.41,26.16,1.51,0.97
09:31:51,26.25,338625.0,19,:51,55653009.2,603690,至纯科技,25.82,,26.41,26.16,1.67,0.97
09:31:54,26.24,718976.0,25,:54,56371985.2,603690,至纯科技,25.82,,26.41,26.16,1.63,0.97
09:31:57,26.36,5490788.0,206,:57,61862773.2,603690,至纯科技,25.82,,26.41,26.16,2.09,0.97
09:32:00,26.36,253056.0,32,:00,62115829.2,603690,至纯科技,25.82,,26.41,26.16,2.09,0.97
09:32:03,26.34,885024.0,53,:03,63000853.2,603690,至纯科技,25.82,,26.41,26.16,2.01,0.97
09:32:06,26.34,258132.0,25,:06,63258985.2,603690,至纯科技,25.82,,26.41,26.16,2.01,0.97
09:32:09,26.33,1008439.0,20,:09,64267424.2,603690,至纯科技,25.82,,26.41,26.16,1.98,0.97
09:32:12,26.33,505536.0,11,:12,64772960.2,603690,至纯科技,25.82,,26.41,26.16,1.98,0.97
09:32:15,26.3,218290.0,17,:15,64991250.2,603690,至纯科技,25.82,,26.41,26.16,1.86,0.97
09:32:18,26.39,1976611.0,43,:18,66967861.2,603690,至纯科技,25.82,,26.41,26.16,2.21,0.97
09:32:21,26.34,121164.0,15,:21,67089025.2,603690,至纯科技,25.82,,26.41,26.16,2.01,0.97
09:32:24,26.33,300162.0,8,:24,67389187.2,603690,至纯科技,25.82,,26.41,26.16,1.98,0.97
09:32:27,26.36,202972.0,16,:27,67592159.2,603690,至纯科技,25.82,,26.41,26.16,2.09,0.97
09:32:30,26.34,495192.0,28,:30,68087351.2,603690,至纯科技,25.82,,26.41,26.16,2.01,0.97
09:32:33,26.36,274144.0,25,:33,68361495.2,603690,至纯科技,25.82,,26.41,26.16,2.09,0.97
09:32:36,26.33,976843.0,62,:36,69338338.2,603690,至纯科技,25.82,,26.41,26.16,1.98,0.97
09:32:39,26.34,1627812.0,41,:39,70966150.2,603690,至纯科技,25.82,,26.41,26.16,2.01,0.97
09:32:42,26.36,405944.0,20,:42,71372094.2,603690,至纯科技,25.82,,26.41,26.16,2.09,0.97
09:32:45,26.34,168576.0,15,:45,71540670.2,603690,至纯科技,25.82,,26.41,26.16,2.01,0.97
09:32:48,26.36,329500.0,25,:48,71870170.2,603690,至纯科技,25.82,,26.41,26.16,2.09,0.97
09:32:51,26.36,788164.0,23,:51,72658334.2,603690,至纯科技,25.82,,26.41,26.16,2.09,0.97
09:32:54,26.36,260964.0,23,:54,72919298.2,603690,至纯科技,25.82,,26.41,26.16,2.09,0.97
09:32:57,26.36,840884.0,43,:57,73760182.2,603690,至纯科技,25.82,,26.41,26.16,2.09,0.97
09:33:00,26.34,226524.0,23,:00,73986706.2,603690,至纯科技,25.82,,26.41,26.16,2.01,0.97
09:33:03,26.33,247502.0,14,:03,74234208.2,603690,至纯科技,25.82,,26.41,26.16,1.98,0.97
09:33:06,26.3,57860.0,7,:06,74292068.2,603690,至纯科技,25.82,,26.41,26.16,1.86,0.97
09:33:09,26.26,160186.0,20,:09,74452254.2,603690,至纯科技,25.82,,26.41,26.16,1.7,0.97
09:33:12,26.26,212706.0,8,:12,74664960.2,603690,至纯科技,25.82,,26.41,26.16,1.7,0.97
09:33:15,26.26,259974.0,23,:15,74924934.2,603690,至纯科技,25.82,,26.41,26.16,1.7,0.97
09:33:18,26.25,183750.0,15,:18,75108684.2,603690,至纯科技,25.82,,26.41,26.16,1.67,0.97
09:33:21,26.21,209680.0,19,:21,75318364.2,603690,至纯科技,25.82,,26.41,26.16,1.51,0.97
09:33:24,26.2,159820.0,21,:24,75478184.2,603690,至纯科技,25.82,,26.41,26.16,1.47,0.97
09:33:27,26.2,144100.0,13,:27,75622284.2,603690,至纯科技,25.82,,26.41,26.16,1.47,0.97
09:33:30,26.21,353835.0,32,:30,75976119.2,603690,至纯科技,25.82,,26.41,26.16,1.51,0.97
09:33:33,26.2,209600.0,22,:33,76185719.2,603690,至纯科技,25.82,,26.41,26.16,1.47,0.97
09:33:36,26.2,227940.0,24,:36,76413659.2,603690,至纯科技,25.82,,26.41,26.16,1.47,0.97
09:33:39,26.21,686702.0,113,:39,77100361.2,603690,至纯科技,25.82,,26.41,26.16,1.51,0.97
09:33:42,26.23,417057.0,47,:42,77517418.2,603690,至纯科技,25.82,,26.41,26.16,1.59,0.97
09:33:45,26.26,391274.0,17,:45,77908692.2,603690,至纯科技,25.82,,26.41,26.16,1.7,0.97
09:33:48,26.28,52560.0,6,:48,77961252.2,603690,至纯科技,25.82,,26.41,26.16,1.78,0.97
09:33:51,26.29,94644.0,8,:51,78055896.2,603690,至纯科技,25.82,,26.41,26.16,1.82,0.97
09:33:54,26.3,454990.0,36,:54,78510886.2,603690,至纯科技,25.82,,26.41,26.16,1.86,0.97
09:33:57,26.31,352554.0,39,:57,78863440.2,603690,至纯科技,25.82,,26.41,26.16,1.9,0.97
09:34:00,26.28,152424.0,16,:00,79015864.2,603690,至纯科技,25.82,,26.41,26.16,1.78,0.97
09:34:03,26.3,134130.0,13,:03,79149994.2,603690,至纯科技,25.82,,26.41,26.16,1.86,0.97
09:34:06,26.3,139390.0,9,:06,79289384.2,603690,至纯科技,25.82,,26.41,26.16,1.86,0.97
09:34:09,26.28,228636.0,18,:09,79518020.2,603690,至纯科技,25.82,,26.41,26.16,1.78,0.97
09:34:12,26.3,583860.0,25,:12,80101880.2,603690,至纯科技,25.82,,26.41,26.16,1.86,0.97
09:34:15,26.32,1423912.0,39,:15,81525792.2,603690,至纯科技,25.82,,26.41,26.16,1.94,0.97
09:34:18,26.28,462528.0,21,:18,81988320.2,603690,至纯科技,25.82,,26.41,26.16,1.78,0.97
09:34:21,26.28,70956.0,9,:21,82059276.2,603690,至纯科技,25.82,,26.41,26.16,1.78,0.97
09:34:24,26.3,149910.0,10,:24,82209186.2,603690,至纯科技,25.82,,26.41,26.16,1.86,0.97
09:34:27,26.3,265630.0,16,:27,82474816.2,603690,至纯科技,25.82,,26.41,26.16,1.86,0.97
09:34:30,26.31,226266.0,11,:30,82701082.2,603690,至纯科技,25.82,,26.41,26.16,1.9,0.97
09:34:33,26.29,454817.0,27,:33,83155899.2,603690,至纯科技,25.82,,26.41,26.16,1.82,0.97
09:34:36,26.3,36820.0,7,:36,83192719.2,603690,至纯科技,25.82,,26.41,26.16,1.86,0.97
09:34:39,26.29,307593.0,21,:39,83500312.2,603690,至纯科技,25.82,,26.41,26.16,1.82,0.97
09:34:42,26.3,557560.0,42,:42,84057872.2,603690,至纯科技,25.82,,26.41,26.16,1.86,0.97
09:34:45,26.29,252384.0,20,:45,84310256.2,603690,至纯科技,25.82,,26.41,26.16,1.82,0.97
09:34:48,26.29,299180.2,22,:48,84609436.4,603690,至纯科技,25.82,,26.41,26.16,1.82,0.97
09:34:51,26.3,73640.0,13,:51,84683076.4,603690,至纯科技,25.82,,26.41,26.16,1.86,0.97
09:34:54,26.3,281410.0,23,:54,84964486.4,603690,至纯科技,25.82,,26.41,26.16,1.86,0.97
09:34:57,26.29,157740.0,20,:57,85122226.4,603690,至纯科技,25.82,,26.41,26.16,1.82,0.97
09:35:00,26.29,207901.3,16,:00,85330127.7,603690,至纯科技,25.82,,26.41,26.16,1.82,0.97
09:35:03,26.29,299706.0,27,:03,85629833.7,603690,至纯科技,25.82,,26.41,26.16,1.82,0.97
09:35:06,26.3,465510.0,28,:06,86095343.7,603690,至纯科技,25.82,,26.41,26.16,1.86,0.97
09:35:09,26.3,160430.0,13,:09,86255773.7,603690,至纯科技,25.82,,26.41,26.16,1.86,0.97
09:35:12,26.3,326120.0,17,:12,86581893.7,603690,至纯科技,25.82,,26.41,26.16,1.86,0.97
09:35:15,26.29,236610.0,18,:15,86818503.7,603690,至纯科技,25.82,,26.41,26.16,1.82,0.97
